,author,text,likes,published_at,Unnamed: 0
20,@MarolyneChepngeno,Wonders will never end.Tuko hapa tunawangojea end of year,1,2026-02-02T22:05:47Z,
21,@leahndungu7298,🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮😒🤨🙄,0,2026-01-31T17:34:57Z,
22,@allankhoyi,Hata wakiss kwa TV wataachana tu next week,2,2026-01-31T16:26:04Z,
23,@OliviahMutethya-r8b,😅😅😅😅,0,2026-01-30T15:11:43Z,
24,@JohnJaudi-s5d,Nko apo kwa puzu ya roho😂😂😂😂,0,2026-01-30T11:31:35Z,
25,@catherinekanono4298,Weeh Hawa wako Na shida aki,0,2026-01-29T10:30:22Z,
26,@rensonbaraka94,Sikio la Ndewe halisikii kufa😂😂😂😂😂😂am finished,0,2026-01-26T23:10:01Z,
27,@AllanMuuo-b1q,Awa warudi kisii sasa😂😂😂,0,2026-01-26T11:25:31Z,
28,@SharonAchila,😂😂😂😂😂😂😂😂,0,2026-01-21T11:40:50Z,
29,@GilbertBarasa-lm6cm,Obinnna uko sure ujambao,0,2026-01-20T11:17:13Z,
30,@naomiksaro,Ety sikio la kufa haliskii ndewe🤣🤣 mniuwe sasa😅,1,2026-01-17T08:12:54Z,
31,@janenjoki-tx5or,Stupid kiss,0,2026-01-12T13:11:11Z,
32,@DEEOTEMBA,"Is this normal ni swali tu please 
I don't have a lawyer",1,2026-01-11T10:28:25Z,
33,@NelQaz,1:07 culture 😂😂😂,0,2026-01-10T22:56:29Z,
34,@WayneArnold-e1n1e,wow alikuwa kukifa na njaa,0,2026-01-10T18:31:09Z,
35,@Samuelmusyimi-zy1ts,Wakiachana msikose kutusho..juh hapa kuna mtu kitamramba,1,2025-12-11T09:07:45Z,
36,@MercyFaustine,Lakini wanaume,0,2025-12-05T13:36:51Z,
37,@IsmaelOwino-i7p,obina wewe unatuuwa na mautamuuu,0,2025-12-01T15:32:54Z,
38,@EstherAsamba-x7n,Mkisii ameona soda for the 1st time amesahau kuongea😅😅,4,2025-11-29T16:10:00Z,
39,@EdithChepkemoi-p1f,Mambo imechemka😢😂😂😂,0,2025-11-29T07:34:59Z,
40,@salomendungwa,Sabrina yawa,0,2025-11-14T22:50:43Z,
41,@AngelineMwanza-z3v,May this kind of love locate my ex😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0,2025-11-14T13:26:13Z,
42,@marymwelu5320,"Mkisii Ni mkisii tu,,,,uyu naye apanaae",0,2025-10-28T13:02:15Z,
43,@Ashley.15-p3c,Sabrina ANACHEKACHEKA Kama malaya mpya,0,2025-10-04T06:12:37Z,
44,@NeshLencixine,"What was the interview obinnah please 🙏, I'm confused 😕🤔🤔😂😂",0,2025-10-02T20:35:04Z,
45,@NeshLencixine,"This man he is so complicated 😅😅😅, please obinnah use Kiswahili language kindly 😅😅😅",0,2025-10-02T20:28:55Z,
46,@DennisotienoAgunda,Lakini wakisi niwajinga kupita kiyasi,0,2025-09-20T20:02:47Z,
47,@KwambokaNaom,Aki Kuna comment hapa imenimaliza..eti jamaa alikuja kwa show akiwa njaa amepiga juice kama robot,2,2025-09-14T19:46:39Z,
48,@JaclineKaberia,Wawawawa laugh😅😅😅😅😅,0,2025-09-13T15:03:23Z,
49,@alicewanja1603,Hapa Nooo! Mchezo,0,2025-09-09T09:10:53Z,
50,@DorisMike-sj9ph,Aki wakisii😅😅,0,2025-09-08T08:39:49Z,
51,@clemohhushy3428,"cheneras,,hambo😂😂",0,2025-09-07T21:55:35Z,
52,@user-h2h8r,Kwani huyu jamaa Ni bwenge,0,2025-09-06T22:50:34Z,
53,@virginiakilungu1863,"Sasa obina hawa wajiga unatoanga wapi,",0,2025-09-05T09:43:44Z,
54,@hytalltush5676,Nitamsrap😅😂😂😂,1,2025-09-02T18:44:47Z,
55,@MercyKooro-og7xe,"Huyu jamaa ni mkora,chunga sana msichana.",1,2025-09-02T11:35:11Z,
56,@VictorOnyango-sv2hl,"😢eti mbona nikubali nishikwe nikicheat,,😂 ni Malaya in secret",0,2025-08-31T23:59:38Z,
57,@Musick_2996,mwenzako ako wapi ??,0,2025-08-31T20:33:13Z,
58,@Musick_2996,hio ni kiazala 🤣🤣,0,2025-08-31T20:32:42Z,
59,@LydiaKwamboka-w3r,Kuna hii jina anasema shy kidsign zhy🤣🤣,2,2025-08-31T04:20:58Z,
60,@Kiliku_stars_band,Uyu jamaa amekua moto xn,0,2025-08-31T04:20:41Z,
61,@ifgodsayyes.nobodycansayno1796,Obina ashaanza kuaribu show mara yule wa kutukana wa kenya  mara  hawa bado aanze kurekodi ngono,3,2025-08-30T16:01:26Z,
62,@KhaizoPleish-hm5td,❤❤❤❤❤,0,2025-08-27T15:33:45Z,
63,@KhaizoPleish-hm5td,😂😂😂😂😂,0,2025-08-27T15:33:36Z,
64,@margaretmwanyalo7277,huyu na Pamela wako sawa wangeoana😂😂😂😂,0,2025-08-27T07:43:21Z,
65,@NicoleDelta-r1k,Uyu ni ule wa captain??,0,2025-08-26T19:12:51Z,
66,@japhethmumo-r5r,kwani huku ni wapi🙄🙄🙄🙄,0,2025-08-25T11:17:52Z,
67,@MERCYSmile-x3x,Nawapenda kama siringi my people 😂😂😂eish  enyewe kiswahili can be hard  sometimes,0,2025-08-20T13:01:39Z,
68,@Wanjirumungai-F,Never trust anyone in this world  only Jesus is trustable 😂😂,0,2025-08-15T19:52:58Z,
69,@Wanjirumungai-F,Obina moyoni anabubujika😂😂😂😂😂😂,0,2025-08-15T19:45:37Z,
70,@rehemanyiro3689,"Obina,"" mambo ni yako""😂😂🙌",0,2025-08-12T21:46:22Z,
71,@CashNamanga,mkisii ni mkisii to ha ha,0,2025-08-12T11:04:53Z,
72,@millicentauma3103,Hakuna mapenzi hapa,0,2025-08-11T14:26:34Z,
73,@Ruthkerosi,Stevo simple boy wa Kisii sikio la kufa halisikii ndewe,0,2025-08-11T01:42:43Z,
74,@TabithaNzoka,Huyu anakaa culture ama n nani,0,2025-08-10T22:16:50Z,
75,@larozmusic_,Young boy plz Go and larn how to kiss  first,0,2025-08-10T03:24:11Z,
76,@LuizyLiz-q2b,"❤❤❤,,uwii nakosa mwelekeo",0,2025-08-09T18:09:58Z,
77,@simonkituo4248,😂😂😂😂😂😂hii imeweza,0,2025-08-09T17:19:15Z,
78,@MaggKen,Lusungu jamani 😅,0,2025-08-09T09:37:21Z,
79,@teshman2648,Ata wewe pusu,0,2025-08-09T04:34:48Z,
80,@nyaozilnyao8849,Huyo ni mkora wakiwa na mojeje watakucheza 😂😂,1,2025-08-08T18:32:45Z,
81,@amarhsmart..,Sufufu la penzi,0,2025-08-08T17:41:34Z,
82,@amarhsmart..,😂😂😂😂😂😂WAH,0,2025-08-08T17:40:18Z,
83,@betricemainoya4176,"Obina hizi shoo zako zingine za matabia , unakumbuka za yule jamaa wa wake 2 walikuwa wanaingea mambo ya mijulus mbele ya watoto Infront of camera show inaonekana East Africa nzima, na huyu mshangazi wa kunyinywa Kila mahali and now this kissing kwa intaview unajiangusha broo",0,2025-08-08T12:22:25Z,
84,@NancyChebet-m7p,😅ni yule wa blabla eeeh syllabus is moving aya twende nalo,0,2025-08-07T23:39:16Z,
85,@atienosom2620,Apira prilling potatoes 😂,0,2025-08-07T14:31:16Z,
86,@josephmuia4835,"Hao ulitoa wapi obina ,? very stupid",0,2025-08-07T09:05:47Z,
87,@biggiebizzie812,"Alikuja interview akiwa njaa huyu sokoro, ana pigwa juice mbio mbio 😅😅😅",0,2025-08-07T08:49:49Z,
88,@hawatei2876,😂😂😂😂😂😂😂 nawaao,0,2025-08-06T02:25:23Z,
89,@Noahmarkx,Nonesense,0,2025-08-05T12:28:23Z,
90,@RuthMaelo-q7h,😂😂😂😂,0,2025-08-05T09:03:37Z,
91,@myqueousoh5647,Morally wrong,0,2025-08-05T05:50:07Z,
92,@fancymercy814,Wakisii wanakisiiana😂😂❤❤hai!!!But huyu demu ni mrembo sana roho safi❤,2,2025-08-05T05:20:35Z,
93,@tawazobennard,Obina walae unaonanga mambo mengi kweli,2,2025-08-05T05:04:32Z,
94,@wilky1-R254,Wakisii mumefikiws 😂😂😂😂🎉🎉🎉,0,2025-08-05T00:43:11Z,
95,@lilianmuindi8729,Aty nakupenda kama shilingi kwa ya pili yawa this is too much😅😅😅,0,2025-08-04T14:01:45Z,
96,@kadzo6614,🚮,0,2025-08-04T13:45:35Z,
97,@rugushyvessel2288,"Huyu jamaaa!!! Anaeza choma na moto ya kuni 😂😂😂😂😂😂weeeh!

But the kagal , she's  composed and mature",3,2025-08-04T05:55:30Z,
98,@Kennedywesonga-r9g,Sikio la kufa halisikii ndewe,0,2025-08-03T18:52:57Z,
99,@aronaurun8555,Siringi kwa ya piri ndio gani😂😂,0,2025-08-03T16:23:07Z,
100,@omwami-j,Subscribe ❤🙏,13,2025-07-30T10:21:01Z,0.0
101,@LAKACHELAKACHE,😂😂😂😂Yani place ilifanyiwa ni ya kitajiri but ile bogi irikuja wacha TU najua hapo mpaka kunguni iliacha 😂😂😂😂,0,2026-01-13T10:58:54Z,1.0
102,@Mwikalip68,Hiii ni saw❤❤❤❤❤❤🎉🎉🎉🎉🎉,0,2025-12-10T07:23:23Z,2.0
103,@LilianKemuto-q9v8u,Kwa harusi hakunanga rules hiyo ni siku yako na haiwezi jirudia so hawa waliamua kuvunja record hii ndio furaha hakuna kuambiwa kitu ya kudu,0,2025-12-03T14:43:50Z,3.0
104,@bela-063,Riswa riswa,0,2025-11-20T12:07:32Z,4.0
105,@slumboymatellah,ni nani huyo alifanya harusi wa kwanza ndio achie hawa wasee?,0,2025-11-05T05:56:10Z,5.0
106,@IsaacMwanzali-s8v,"Mbogi nayo kubanja,,, dah!",1,2025-10-24T09:11:27Z,6.0
107,@kizitochacha,"Hii ni event ya kuosha pesa aka money laundering, hakuna harusi hapo",0,2025-10-04T11:32:46Z,7.0
108,@DominicWasilwa,Hiii ilikua biggy,0,2025-09-28T16:37:34Z,8.0
109,@charityndichu4332,Mungu nipatie patero sasa😅,0,2025-09-28T04:49:45Z,9.0
110,@YusraMbeyu-m8e,Ila Kenya waaah😂😂😂😂,0,2025-09-23T13:03:31Z,10.0
111,@Firog6004,Kwani made hawakutokea,0,2025-09-20T01:36:41Z,11.0
112,@kamauwilliamk,"Life iko hivyo, nothing makes sense.... Anymore 😂😂just do what you love 💕",0,2025-09-19T15:03:21Z,12.0
113,@victordeekenya3539,Following from Nairobi Kenya 🇰🇪 We congratulate them,0,2025-09-16T16:25:34Z,13.0
114,@teejayangel6638,He is man enough to marry. I respect them both for that very bold move. Marriage is not for children.,0,2025-09-15T11:39:19Z,14.0
115,@athertonwisdom5442,The realest support you can ever have. These guys were truly happy for their guy and that's a real deal man..,0,2025-09-14T15:12:55Z,15.0
116,@OengaMildred,Mimi nawakupali  kinoma yaani 😂😂hao watu wa kanisa ni roho mbaya walai 😂 hata yangu hapo Kwa cake 🍰 ni miraa NKT 😂😂😂😂😂,0,2025-09-12T16:28:10Z,16.0
117,@MarionMzalendo,Ndoa ifurahiwe na watu wote! And they did.  Nothing is wrong there,0,2025-09-11T12:50:16Z,17.0
118,@MitchMaya-s2d,Hi harusi ilikuwa YA Kaling'o,0,2025-09-06T09:13:37Z,18.0
119,@elizabethwalukha,Weee ati wa kudumu siku zote😂😂😂,0,2025-09-04T19:08:50Z,19.0
120,@HarshFal100l,😭😭😭😭😭,0,2025-08-28T19:26:18Z,20.0
121,@mercychepet543,The first wedding in kenya crazy 😂😂,0,2025-08-27T22:21:42Z,21.0
122,@Mgéé254,https://youtube.com/shorts/vCPMrncaHLE?si=S2gq2jZpGugdOdQB,0,2025-08-25T19:05:16Z,22.0
123,@GraceMuthoni-h1u,Is there no Dj🤔😂,0,2025-08-23T14:55:22Z,23.0
124,@VirginiaMuthoki-wt6ig,Drugs on air,0,2025-08-23T04:19:57Z,24.0
125,@jemk6098,Whats with the chains😅😅😅😅,0,2025-08-21T22:53:33Z,25.0
126,@VIRGISRAEL254,Even the parents were shocked,0,2025-08-18T12:59:04Z,26.0
127,@brianwajuma,"Na mbona hii bwana harusi ni wewe😂😂😂
Kwani hiii mbogi haijui kuimba😂😂",1,2025-08-17T04:42:12Z,27.0
128,@OliviaPhoebe-k1u,Nice one❤🎉,1,2025-08-16T15:35:34Z,28.0
129,@clare.o.o,"The deco people DELIVERED!!. Honestly, I wish them the best as well. God bless their marriage.🎊",2,2025-08-16T15:03:22Z,29.0
130,@sheillarmapenzi6389,Adi wazazi wameshangaa😂😂 7:55,1,2025-08-16T08:29:07Z,30.0
131,@PETERSIMIYU-to6iz,Yenywe ni kume na nne supuu 😂😂😂,1,2025-08-12T02:44:05Z,31.0
132,@annielewa4752,This is pure acting! It is obvious!,0,2025-08-11T19:17:12Z,32.0
133,@JanetMuguro,Kwani bibi hana mbogi😅,0,2025-08-11T18:31:22Z,33.0
134,@JanetMuguro,Enyewe birds of a feather😂😂😂😂😅,1,2025-08-11T18:24:47Z,34.0
135,@letisianjagi4349,They were shooting a movie probably,0,2025-08-10T04:42:16Z,35.0
136,@EvalyneAtieno-d8q,😂😂😂,0,2025-08-09T13:07:13Z,36.0
137,@AzzizKarim-v8q,Mimi ikifika hiyo time piga munju....walete tu kitanda juu hiyo ndio turn on yangu 😂😂😂😂💔💔,4,2025-08-09T09:27:33Z,37.0
138,@KimuraMusashi-y4u,Amefunga harusi Na shetani😮😮😮😮,0,2025-08-08T20:45:52Z,38.0
139,@LilianIngosi-hh7ex,It's funny jamani waa...h this is crazy 😅😅😅😅😅😅😊😂😂😂,1,2025-08-08T12:31:23Z,39.0
140,@Shaban-d9h,Na ni wengi aje..... bogie siku zote 😂😂😂😂,2,2025-08-07T15:18:26Z,40.0
141,@Shaban-d9h,Boogie 😂😂😂😂,1,2025-08-07T15:11:49Z,41.0
142,@Peterbahati016,Hii ni Kenyan movie,3,2025-08-07T15:04:52Z,42.0
143,@RIZIKI-i8l,😂😂😂😂kitu ngumu ilikua kwa hii harusi ni kucontrol hio mbogi😂😂😂😂😂aaaai,11,2025-08-07T03:38:31Z,43.0
144,@reenmakamu2278,Ni nini hatujaona Kenya hii😂😂😂😂😂😂😂,3,2025-08-06T12:28:22Z,44.0
145,@Trap6109-f9e,"Nimeona mtu ka Awoh,,,Aka kasa ananisaka,,,bydha sheree ilikuwa lit,,,na sai mambo ni zetuzetu,,,",2,2025-08-05T21:17:58Z,45.0
146,@christashaku,The fact that waliimba shangwe Hallelujah!😂😅,4,2025-08-05T20:30:49Z,46.0
147,@hildahokeyo9497,Hii ni ya mapepo.,1,2025-08-05T20:19:00Z,47.0
148,@Pes_Art,How to save money on a low income in Kenya https://smartmoneyk.blogspot.com/2025/08/how-to-save-money-on-low-income-in_4.html,0,2025-08-05T17:40:30Z,48.0
149,@beatriceawuor3077,Maybe hao ni parents for hire,0,2025-08-05T09:18:50Z,49.0
150,@benardnjoroge8249,"Wah,,,God have mercy on us please 🙏",2,2025-08-05T03:59:54Z,50.0
151,@stephenderrick1858,"Wtf...this isn't a wedding, it's a class clown re union frankly speaking.the lady's face is struggling to keep a calm face.",0,2025-08-04T17:22:31Z,51.0
152,@KaronAron-g4f,THIS CRAZY😆😅😅🤣,2,2025-08-04T10:54:18Z,52.0
153,@WAMBUI-l2b,Best wedding ever,2,2025-08-04T07:38:13Z,53.0
154,@WAMBUI-l2b,Niko hapo kwa piga muju,1,2025-08-04T07:37:54Z,54.0
155,@WAMBUI-l2b,Mgaro nayo,1,2025-08-04T07:33:35Z,55.0
156,@WAMBUI-l2b,Kali sana,2,2025-08-04T07:32:31Z,56.0
157,@JaneOuma-p5j,Mtoto na shosh wake🤭🫢🫢,1,2025-08-04T06:49:10Z,57.0
158,@ClareInjete,Kwani walikua Sunday school 🤣juuu nyimbo zote wameimba hiimbwa kwa Sunday school 😅,6,2025-08-03T22:15:55Z,58.0
159,@JosephMagaiwa-b1d,Alimpa probox,1,2025-08-03T19:41:19Z,59.0
160,@FransiscahMuindi,Where did they sign marriage certificate,1,2025-08-03T14:34:03Z,60.0
161,@FransiscahMuindi,I think this is acting for new song just my thoughts,1,2025-08-03T14:32:48Z,61.0
162,@FransiscahMuindi,May be is shooting or is real,1,2025-08-03T14:29:03Z,62.0
163,@jeffreyferguson8409,"Inspiring 

Check out my wedding

https://m.youtube.com/watch?v=GCKDU0x6ho0&t=2089s&pp=ygUcc2FtYW50aGEgYW5kIGplZmZyZXkgd2VkZGluZw%3D%3D",0,2025-08-03T08:22:00Z,63.0
164,@LaineyLanez,Sina maoni,1,2025-08-02T19:19:02Z,64.0
165,@ElizabethOtieno-ub6hq,Will yoy belive ako na watoto,2,2025-08-02T18:39:42Z,65.0
166,@Salma-ne8en,😂😂😂😂waaa wedding ya wahuni😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂hii Nayo ilibamba😂😂😂😂😂😂,3,2025-08-02T15:33:22Z,66.0
167,@mrnelsonmusic373,Cult is real#,1,2025-08-02T08:07:29Z,67.0
168,@zahraabdul9652,Piga mtu piga mtu😂😂😂😂🤣🤣🤣🤣🤣🤣 this is the best gen z wedding ever 😂😂😂😂😂😂😂 .,9,2025-08-02T05:53:13Z,68.0
169,@dorcasauma2406,😂😂😂😂😂😂😂😂,1,2025-08-02T03:02:54Z,69.0
170,@kevinwangila1492,Uradi uradi😂😂,2,2025-08-02T02:27:08Z,70.0
171,@VictorAskali,Wacheni kujudge watu inafaa huyu patelo aombewe mungu amsaidie,1,2025-08-01T18:35:02Z,71.0
172,@agathamutheu5155,This is crazy 🤣🤣🤣🤣😂 6:43,4,2025-08-01T18:04:41Z,72.0
173,@agathamutheu5155,😅😅😅😅 this is crazy 🤣🤣🤣,3,2025-08-01T18:04:14Z,73.0
174,@QueenKingzie,Gen-z hapo ni nani exactly just asking 😅,2,2025-08-01T13:10:09Z,74.0
175,@vanguardarcana,do you have to present your news in an optimistic pov...?,2,2025-08-01T12:01:11Z,75.0
176,@themarvinsohana9488,Are those the parents or wa hire😂,3,2025-08-01T11:20:42Z,76.0
177,@themarvinsohana9488,Pesa ni kama hiko..ama hiko pesa,1,2025-08-01T11:20:09Z,77.0
178,@christinemambo6840,Ni harusi ya ukweli au movie 🤔🤔inakaa acting 😅😅,1,2025-08-01T11:11:44Z,78.0
179,@NyamwaroOmoi,Oooh lord,1,2025-08-01T10:53:21Z,79.0
180,@ElijahAwinja,Iko sawa watu wajibambe,3,2025-08-01T10:39:48Z,80.0
181,@emilywilly2306,Huezi npea story hvi nkose ku subscribe ❤❤❤❤❤,1,2025-08-01T08:16:31Z,81.0
182,@bettymawia254,Inanikalia movie though 😂,13,2025-08-01T06:21:19Z,82.0
183,@FlickLax,We do Ni ya mraas nawanaifunga kimangoto 👊🏿👊🏿,1,2025-08-01T06:16:38Z,83.0
184,@GilbertOduor-i2g,Haloooooo😂,0,2025-08-01T03:09:19Z,84.0
185,@BillyKitundu,Ukona kiherehere,0,2025-08-01T03:00:19Z,85.0
186,@selinakwamini825,"Wueh, hope nobody kills another in days to come",0,2025-07-31T22:01:07Z,86.0
187,@MissJackie254,😂😂😂😂,1,2025-07-31T20:57:32Z,87.0
188,@kellahkellah9456,Bro unapiga kelele sana.,1,2025-07-31T20:50:40Z,88.0
189,@kellahkellah9456,"I hate it when you use the word ""a normal wedding"" was there's abnormal?",0,2025-07-31T20:46:36Z,89.0
190,@beatriceakoth5721,Ugeto,0,2025-07-31T18:28:12Z,90.0
191,@EmilyOtieno-qc8wl,"I honestly wish them well and may they live together till old age,, this was pure wedding without pretends,, they say be real and it was, the support from friends was genuine,,, please God bless their marriage let no man separate them❤",12,2025-07-31T16:59:31Z,91.0
192,@JfhfjgBxhchf,I like it 😂😂😂😂🔥🔥🔥,0,2025-07-31T16:39:32Z,92.0
193,@djimpulsekenya97,😂 vle mnadhanianga harusi inafaa kukua hukua brainwashing yangu ntafanyia kwa matope,5,2025-07-31T16:26:17Z,93.0
194,@fridahndungenzaumi6591,Wueh sisemi kitu😂😂,3,2025-07-31T15:56:35Z,94.0
195,@Onyango1,Hii ni nini wakuu waah 😂😂😂,3,2025-07-31T14:42:23Z,95.0
196,@Maria-l4h3q,Hakuna voice comments 🤣🤣🤣🤣🤣🤣🤣🤣🤣,1,2025-07-31T14:40:42Z,96.0
197,@GideonMate,Nikudinyee nikudinyeee😂,0,2025-07-31T13:08:38Z,97.0
198,@DuncanMutugi-z4y,"We jamaa acha ufala ,Yani hata huezi appreciate huyo jamaa nikuaribu tu",0,2025-07-31T10:34:51Z,98.0
199,@rhodademesi6591,"What's wrong with her neck,not upright?",0,2025-07-31T10:06:33Z,99.0
200,@WAMBO-p1v,The fact that  all those boyz are happy for their mate is enough...That's genuine support...,36,2025-07-31T08:07:53Z,100.0
201,@shiegee7797,Wow...upcoming youtubers tupitiane,0,2025-07-31T07:15:25Z,101.0
202,@nicknikoomwendia9772,iyo n content broo😅😅😅,1,2025-07-31T02:08:02Z,102.0
203,@kennedymwirigi928,"Upuzi iko hii nchi,Inakaa tu drama",1,2025-07-30T23:44:40Z,103.0
204,@bobsupndominiqe4311,uko sure uyo msee si wewe,0,2025-07-30T21:52:24Z,104.0
205,@joanmumo1352,Ety bibi harusi haongei mpaka bwanake ampee ruhusa,0,2025-07-30T21:28:36Z,105.0
206,@evelyneonyango5879,Wedding is a white man's philosophy. And everyone one is blessed in their own way. They don't have to be all rich.  God can lift you through your wife and watch pastor T mwangi testimony,0,2025-07-30T21:27:21Z,106.0
207,@lillianatieno5362,Kumi na nne supuu 😂 Topshotta 😁,0,2025-07-30T21:20:07Z,107.0
208,@MaryD-xf2tl,Kwani akuna pastor,1,2025-07-30T20:19:18Z,108.0
209,@MaryD-xf2tl,Jehovah 😂😂😂😂,2,2025-07-30T20:16:49Z,109.0
210,@AnitaMumbi-d3u,"Adi nimemiss kuoleka ivi,yangu tutalewa na tuchome walai",0,2025-07-30T19:43:12Z,110.0
211,@Wuodogomah,I wandaaaa 😂😂😂wa kudumu atadumu,0,2025-07-30T19:32:20Z,111.0
212,@LaughMinistry93,Is this real or just acting 😅😅,0,2025-07-30T18:48:35Z,112.0
213,@PerismbarongoNyabicha,Hii ganaration hakuna kitu,2,2025-07-30T18:38:41Z,113.0
214,@IanDuncanO,"Hawa wasee ni wacute wote, ughetto ndio most kwa morio but all the best to them",5,2025-07-30T17:53:26Z,114.0
215,@RlenyTrendy,Mimi until now i cant believe it was a real wedding i feel like its a total act weeuh hii Kenya aki😂😂😂,8,2025-07-30T17:29:26Z,115.0
216,@marrialmary3510,😂😂😂😂😂😂😂😂,1,2025-07-30T17:04:48Z,116.0
217,@Emirchampion,Wakudumu siku zombo,0,2025-07-30T16:49:55Z,117.0
218,@Shakilanafula-z3w8d,The singers though 🤣🤣🤣😂,0,2025-07-30T15:41:29Z,118.0
219,@Shakilanafula-z3w8d,Mtu aogopi kuolewa na jambazi😅,0,2025-07-30T15:31:33Z,119.0
220,@Kaninis3,Alf hiyo chain niya nn na pete mingi,0,2025-07-30T15:03:28Z,120.0
221,@Maggy-w9m,"Ama the parents n magenz pia,😢they must be ashamed and dissapointed",0,2025-07-30T14:53:45Z,121.0
222,@LilianMokua-m9p,Ma  morio tuu ndio walienda harusi,1,2025-07-30T14:29:05Z,122.0
223,@Slyfavour,Hope Hawa sio waivi aki juu weee,0,2025-07-30T13:25:44Z,123.0
224,@Slyfavour,Mko wapi wale husema mungu nipee ka hii wedding.. 😢😢😢😢😢.mutaki kama hii this time??,3,2025-07-30T13:22:44Z,124.0
225,@GraceJeptanui-hi1vy,Hiii ni Moto nice harusi,0,2025-07-30T12:20:10Z,125.0
226,@KibeJohn23,"It's the guy saying ""dosii dosii"" for me. Anaongea sheng  vifity jooh😂😂",0,2025-07-30T11:51:06Z,126.0
227,@璐刘-e9t,Ona hiyo tattoo ya dem,1,2025-07-30T11:03:22Z,127.0
228,@璐刘-e9t,😅it might be acting,0,2025-07-30T11:02:20Z,128.0
229,@omwami-j,Subscribe ❤🙏,13,2025-07-30T10:21:01Z,129.0
230,@emmanuelotieno-bm8rl,Msijifanye hamjaona mzagatas hapo,0,2025-07-30T09:48:18Z,130.0
231,@AdrienneMwangi,"Walai I feel for the bride ,juuu after honeymoon 😂😢",1,2025-07-30T08:12:28Z,131.0
232,@SelahMwendeKimathi,Adi harusi tulifanya tukiwa watoi it was much more planned kuliko hiiii😂😂😂😂😂,25,2025-07-30T07:23:18Z,132.0
233,@frankkalonzo9229,"The best one ever, this how it should be. Just be unique and move on like nothing happened.",0,2025-07-30T06:14:00Z,133.0
234,@Mama-d8g6g,Harusi tunayo,1,2025-07-30T06:07:37Z,134.0
235,@BenMwanza-d8v,Mungu wetu n wa ajabu,0,2025-07-30T06:06:10Z,135.0
236,@BenMwanza-d8v,Maybe his father is very rich,0,2025-07-30T06:05:34Z,136.0
237,@joyceadhiambo4063,Them talons,1,2025-07-30T05:52:40Z,137.0
238,@judiemem-dd9sd,Hii harusi nimeenjoy sana...😂🎉🎉❤,10,2025-07-30T05:25:07Z,138.0
239,@ChristineNapokholo,🤣🤣🤣🤣🤣🤣,1,2025-07-30T05:11:14Z,139.0
240,@obaraabraham9934,This generation is absolutely fucked!,2,2025-07-30T03:16:21Z,140.0
241,@fisherman2045,Mama kijana ni mdogo kuliko bibi harusi😂😊,13,2025-07-30T00:53:01Z,141.0
