"Unnamed: 0","Unnamed: 0.1","annotation_id","annotator","author","clean_text","confidence_score","created_at","id","label","language","lead_time","likes","predicted_label","published_at","text","updated_at"
"",10,17,"1","@abdisalangure616","Rubbish this is not only  immoral but also unafrican ....wacha kuharibu watoto wetu....There are things made in private ......This is like walking naked .......obinna stopairing such crab.",0.5902459621429443,"2026-02-19T08:59:15.112743Z",16844,"Cyberbullying/Harassment","Mixed",31.069,0,"offensive language","2026-02-05T23:36:38Z","Rubbish this is not only  immoral but also unafrican ....wacha kuharibu watoto wetu....There are things made in private ......This is like walking naked .......obinna stopairing such crab.","2026-02-19T08:59:15.112743Z"
"",11,18,"1","@collettumbo8972"," rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing obina's eyes.",0.6111325025558472,"2026-02-19T08:59:23.936731Z",16845,"Neutral/Positive","Mixed",7.829,0,"offensive language","2026-02-05T07:36:32Z","🤣🤣🤣🤣🤣obina's eyes.","2026-02-19T08:59:23.936731Z"
"",12,19,"1","@pricelessevolution","Huyu lazima acheat!!",0.2868869304656982,"2026-02-19T09:00:34.316269Z",16846,"Misinformation","Mixed",69.402,0,"irony","2026-02-04T14:12:58Z","Huyu lazima acheat!!","2026-02-19T09:00:34.316269Z"
"",13,20,"1","@pricelessevolution","Wakisii wanapenda sota matiaba!!! ,(Cola drinks)",0.3072243928909302,"2026-02-19T09:00:57.775774Z",16847,"Constructive Criticism","Mixed",20.02,0,"neutral or positive","2026-02-04T14:06:06Z","Wakisii wanapenda sota matiaba!!! ,(Cola drinks)","2026-02-19T09:00:57.775774Z"
"",14,21,"1","@pricelessevolution","Mkisii? Siringi kwa ya piri....",0.4007348418235779,"2026-02-19T09:01:17.852473Z",16848,"Constructive Criticism","Swahili",19.048,0,"irony","2026-02-04T14:03:14Z","Mkisii? Siringi kwa ya piri....","2026-02-19T09:01:17.852473Z"
"",15,22,"1","@Emmagraphics-x1","aty nikububujike  face_with_tears_of_joy na penzi",0.2948515117168426,"2026-02-19T09:01:30.755585Z",16849,"Neutral/Positive","Swahili",11.797,0,"neutral or positive","2026-02-03T22:18:10Z","aty nikububujike 😂na penzi","2026-02-19T09:01:30.755585Z"
"",16,23,"1","@jamesmuimi5737","Alafu obina kwani miwani Yako haioni???? face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.4603659510612488,"2026-02-19T09:01:53.735142Z",16850,"Constructive Criticism","",20.54,1,"offensive language","2026-02-03T20:16:54Z","Alafu obina kwani miwani Yako haioni????😂😂😂😂","2026-02-19T09:01:53.735142Z"
"",17,24,"1","@jamesmuimi5737","Obina iyo macho face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.4908277690410614,"2026-02-19T09:02:12.761603Z",16851,"Neutral/Positive","Swahili",5.047,0,"offensive language","2026-02-03T20:13:09Z","Obina iyo macho😂😂😂😂😂😂","2026-02-19T09:02:12.762673Z"
"",18,25,"1","@Brendahchepkorir254","May this kind of love never locate my ex  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.3807626664638519,"2026-02-19T09:02:44.054350Z",16852,"Irony/Sarcasm","English",30.275,2,"offensive language","2026-02-03T19:25:03Z","May this kind of love never locate my ex 😂😂😂","2026-02-19T09:02:44.054350Z"
"",19,26,"1","@afreenkhan5670-f7i"," face_with_tears_of_joy  grinning_face_with_sweat  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing hki wakisii mtavunja bavu langu weh",0.3420822322368622,"2026-02-19T09:02:57.773641Z",16853,"Neutral/Positive","Mixed",12.57,1,"irony","2026-02-03T19:09:18Z","😂😅🤣🤣🤣🤣hki wakisii mtavunja bavu langu weh","2026-02-19T09:02:57.773641Z"
"",20,27,"1","@MarolyneChepngeno","Wonders will never end.Tuko hapa tunawangojea end of year",0.6115262508392334,"2026-02-19T09:03:07.133866Z",16854,"Neutral/Positive","Mixed",8.321,1,"neutral or positive","2026-02-02T22:05:47Z","Wonders will never end.Tuko hapa tunawangojea end of year","2026-02-19T09:03:07.133866Z"
"",21,28,"1","@leahndungu7298"," nauseated_face  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  face_vomiting  unamused_face  face_with_raised_eyebrow  face_with_rolling_eyes ",0.4195128083229065,"2026-02-19T09:03:50.183132Z",16855,"Emoji Toxicity","Mixed",26.365000000000002,0,"neutral or positive","2026-01-31T17:34:57Z","🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮😒🤨🙄","2026-02-19T09:03:50.183132Z"
"",22,29,"1","@allankhoyi","Hata wakiss kwa TV wataachana tu next week",0.3519761860370636,"2026-02-19T09:04:02.041677Z",16856,"Offensive (Non-Targeted)","Mixed",10.818,2,"neutral or positive","2026-01-31T16:26:04Z","Hata wakiss kwa TV wataachana tu next week","2026-02-19T09:04:02.041677Z"
"",23,30,"1","@OliviahMutethya-r8b"," grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat ",0.3897833228111267,"2026-02-19T09:04:06.312235Z",16857,"Neutral/Positive","Mixed",3.394,0,"offensive language","2026-01-30T15:11:43Z","😅😅😅😅","2026-02-19T09:04:06.312235Z"
"",24,31,"1","@JohnJaudi-s5d","Nko apo kwa puzu ya roho face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.3912060260772705,"2026-02-19T09:04:16.250752Z",16858,"Neutral/Positive","Mixed",8.69,0,"offensive language","2026-01-30T11:31:35Z","Nko apo kwa puzu ya roho😂😂😂😂","2026-02-19T09:04:16.250752Z"
"",25,32,"1","@catherinekanono4298","Weeh Hawa wako Na shida aki",0.3400632739067077,"2026-02-19T09:28:01.159189Z",16859,"Neutral/Positive","Mixed",1422.355,0,"neutral or positive","2026-01-29T10:30:22Z","Weeh Hawa wako Na shida aki","2026-02-19T09:28:01.159189Z"
"",26,33,"1","@rensonbaraka94","Sikio la Ndewe halisikii kufa face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy am finished",0.3440195322036743,"2026-02-19T09:28:35.450809Z",16860,"Irony/Sarcasm","Mixed",33.18,0,"offensive language","2026-01-26T23:10:01Z","Sikio la Ndewe halisikii kufa😂😂😂😂😂😂am finished","2026-02-19T09:28:35.450809Z"
"",27,34,"1","@AllanMuuo-b1q","Awa warudi kisii sasa face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.4508050084114074,"2026-02-19T09:28:59.161299Z",16861,"Dismissive Language","Swahili",22.527,0,"neutral or positive","2026-01-26T11:25:31Z","Awa warudi kisii sasa😂😂😂","2026-02-19T09:28:59.161299Z"
"",28,35,"1","@SharonAchila"," face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.3207330107688904,"2026-02-19T09:29:04.079933Z",16862,"Neutral/Positive","Mixed",2.53,0,"offensive language","2026-01-21T11:40:50Z","😂😂😂😂😂😂😂😂","2026-02-19T09:29:04.079933Z"
"",29,36,"1","@GilbertBarasa-lm6cm","Obinnna uko sure ujambao",0.2927223742008209,"2026-02-19T09:29:20.575906Z",16863,"Sexual Harassment","Mixed",15.44,0,"offensive language","2026-01-20T11:17:13Z","Obinnna uko sure ujambao","2026-02-19T09:29:20.575906Z"
"",30,37,"1","@naomiksaro","Ety sikio la kufa haliskii ndewe rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  mniuwe sasa grinning_face_with_sweat ",0.3296958208084106,"2026-02-19T09:29:39.216009Z",16864,"Irony/Sarcasm","Mixed",17.383,1,"irony","2026-01-17T08:12:54Z","Ety sikio la kufa haliskii ndewe🤣🤣 mniuwe sasa😅","2026-02-19T09:29:39.221022Z"
"",31,38,"1","@janenjoki-tx5or","Stupid kiss",0.328770250082016,"2026-02-19T09:29:49.990892Z",16865,"Offensive (Non-Targeted)","English",8.143,0,"offensive language","2026-01-12T13:11:11Z","Stupid kiss","2026-02-19T09:29:49.990892Z"
"",32,39,"1","@DEEOTEMBA","Is this normal ni swali tu please 
I don't have a lawyer",0.3045394122600555,"2026-02-19T09:30:23.842766Z",16866,"Constructive Criticism","Mixed",32.78,1,"neutral or positive","2026-01-11T10:28:25Z","Is this normal ni swali tu please 
I don't have a lawyer","2026-02-19T09:30:23.842766Z"
"",33,40,"1","@NelQaz","1:07 culture  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.4753528833389282,"2026-02-19T09:30:32.590990Z",16867,"Neutral/Positive","Mixed",6.287,0,"neutral or positive","2026-01-10T22:56:29Z","1:07 culture 😂😂😂","2026-02-19T09:30:32.590990Z"
"",34,41,"1","@WayneArnold-e1n1e","wow alikuwa kukifa na njaa",0.2799327969551086,"2026-02-19T09:30:46.431340Z",16868,"Irony/Sarcasm","Mixed",19.973,0,"irony","2026-01-10T18:31:09Z","wow alikuwa kukifa na njaa","2026-02-19T09:30:58.105192Z"
"",35,42,"1","@Samuelmusyimi-zy1ts","Wakiachana msikose kutusho..juh hapa kuna mtu kitamramba",0.3835363686084747,"2026-02-19T09:31:33.143741Z",16869,"Constructive Criticism","Mixed",33.896,1,"neutral or positive","2025-12-11T09:07:45Z","Wakiachana msikose kutusho..juh hapa kuna mtu kitamramba","2026-02-19T09:31:33.143741Z"
"",36,43,"1","@MercyFaustine","Lakini wanaume",0.3335524201393127,"2026-02-19T09:31:46.569138Z",16870,"Gender Stereotyping","Swahili",12.382,0,"neutral or positive","2025-12-05T13:36:51Z","Lakini wanaume","2026-02-19T09:31:46.569138Z"
"",37,44,"1","@IsmaelOwino-i7p","obina wewe unatuuwa na mautamuuu",0.4462186396121979,"2026-02-19T09:31:56.106112Z",16871,"Neutral/Positive","Mixed",8.243,0,"offensive language","2025-12-01T15:32:54Z","obina wewe unatuuwa na mautamuuu","2026-02-19T09:31:56.106112Z"
"",38,45,"1","@EstherAsamba-x7n","Mkisii ameona soda for the 1st time amesahau kuongea grinning_face_with_sweat  grinning_face_with_sweat ",0.4271021485328674,"2026-02-19T09:32:23.148056Z",16872,"Constructive Criticism","Mixed",24.241,4,"offensive language","2025-11-29T16:10:00Z","Mkisii ameona soda for the 1st time amesahau kuongea😅😅","2026-02-19T09:32:23.148056Z"
"",39,46,"1","@EdithChepkemoi-p1f","Mambo imechemka crying_face  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.2708083689212799,"2026-02-19T09:32:30.953844Z",16873,"Neutral/Positive","Swahili",6.982,0,"offensive language","2025-11-29T07:34:59Z","Mambo imechemka😢😂😂😂","2026-02-19T09:32:30.953844Z"
"",40,47,"1","@salomendungwa","Sabrina yawa",0.3145445585250854,"2026-02-19T09:32:43.555024Z",16874,"Neutral/Positive","Mixed",11.241,0,"neutral or positive","2025-11-14T22:50:43Z","Sabrina yawa","2026-02-19T09:32:43.555024Z"
"",41,48,"1","@AngelineMwanza-z3v","May this kind of love locate my ex grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat ",0.4464227259159088,"2026-02-19T09:32:52.913463Z",16875,"Neutral/Positive","Mixed",7.262,0,"offensive language","2025-11-14T13:26:13Z","May this kind of love locate my ex😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅","2026-02-19T09:32:52.913463Z"
"",42,49,"1","@marymwelu5320","Mkisii Ni mkisii tu,,,,uyu naye apanaae",0.5506964921951294,"2026-02-19T09:33:22.586257Z",16876,"Offensive (Non-Targeted)","Mixed",28.455,0,"neutral or positive","2025-10-28T13:02:15Z","Mkisii Ni mkisii tu,,,,uyu naye apanaae","2026-02-19T09:33:22.586257Z"
"",43,50,"1","@Ashley.15-p3c","Sabrina ANACHEKACHEKA Kama malaya mpya",0.4014542698860168,"2026-02-19T09:33:37.424277Z",16877,"Cyberbullying/Harassment","Mixed",13.534,0,"neutral or positive","2025-10-04T06:12:37Z","Sabrina ANACHEKACHEKA Kama malaya mpya","2026-02-19T09:33:37.424277Z"
"",44,51,"1","@NeshLencixine","What was the interview obinnah please  folded_hands , I'm confused  confused_face  thinking_face  thinking_face  face_with_tears_of_joy  face_with_tears_of_joy ",0.5348947048187256,"2026-02-19T09:34:57.914403Z",16878,"Neutral/Positive","English",77.681,0,"offensive language","2025-10-02T20:35:04Z","What was the interview obinnah please 🙏, I'm confused 😕🤔🤔😂😂","2026-02-19T09:34:57.914403Z"
"",45,52,"1","@NeshLencixine","This man he is so complicated  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat , please obinnah use Kiswahili language kindly  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat ",0.382118672132492,"2026-02-19T09:35:12.123033Z",16879,"Neutral/Positive","English",13.027,0,"offensive language","2025-10-02T20:28:55Z","This man he is so complicated 😅😅😅, please obinnah use Kiswahili language kindly 😅😅😅","2026-02-19T09:35:12.123033Z"
"",46,53,"1","@DennisotienoAgunda","Lakini wakisi niwajinga kupita kiyasi",0.4803745448589325,"2026-02-19T09:35:24.462219Z",16880,"Hate Speech","Mixed",11.305,0,"neutral or positive","2025-09-20T20:02:47Z","Lakini wakisi niwajinga kupita kiyasi","2026-02-19T09:35:24.462219Z"
"",47,54,"1","@KwambokaNaom","Aki Kuna comment hapa imenimaliza..eti jamaa alikuja kwa show akiwa njaa amepiga juice kama robot",0.3343691527843475,"2026-02-19T09:35:39.903515Z",16881,"Constructive Criticism","Mixed",13.081,2,"irony","2025-09-14T19:46:39Z","Aki Kuna comment hapa imenimaliza..eti jamaa alikuja kwa show akiwa njaa amepiga juice kama robot","2026-02-19T09:35:39.903515Z"
"",48,55,"1","@JaclineKaberia","Wawawawa laugh grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat ",0.5571532249450684,"2026-02-19T09:35:45.630321Z",16882,"Neutral/Positive","Mixed",4.583,0,"irony","2025-09-13T15:03:23Z","Wawawawa laugh😅😅😅😅😅","2026-02-19T09:35:45.630321Z"
"",49,56,"1","@alicewanja1603","Hapa Nooo! Mchezo",0.3770716786384582,"2026-02-19T09:35:52.072033Z",16883,"Neutral/Positive","Mixed",4.264,0,"neutral or positive","2025-09-09T09:10:53Z","Hapa Nooo! Mchezo","2026-02-19T09:35:52.072033Z"
"",50,57,"1","@DorisMike-sj9ph","Aki wakisii grinning_face_with_sweat  grinning_face_with_sweat ",0.290958434343338,"2026-02-19T09:35:59.447669Z",16884,"Constructive Criticism","Mixed",5.005,0,"neutral or positive","2025-09-08T08:39:49Z","Aki wakisii😅😅","2026-02-19T09:35:59.447669Z"
"",51,58,"1","@clemohhushy3428","cheneras,,hambo face_with_tears_of_joy  face_with_tears_of_joy ",0.3550579845905304,"2026-02-19T09:36:17.951534Z",16885,"Neutral/Positive","Mixed",17.494,0,"offensive language","2025-09-07T21:55:35Z","cheneras,,hambo😂😂","2026-02-19T09:36:17.951534Z"
"",52,59,"1","@user-h2h8r","Kwani huyu jamaa Ni bwenge",0.3366467356681824,"2026-02-19T09:36:56.150914Z",16886,"Offensive (Non-Targeted)","Mixed",37.046,0,"constructive criticism","2025-09-06T22:50:34Z","Kwani huyu jamaa Ni bwenge","2026-02-19T09:36:56.150914Z"
"",53,60,"1","@virginiakilungu1863","Sasa obina hawa wajiga unatoanga wapi,",0.3883265554904938,"2026-02-19T09:39:17.366012Z",16887,"Offensive (Non-Targeted)","Mixed",140.138,0,"offensive language","2025-09-05T09:43:44Z","Sasa obina hawa wajiga unatoanga wapi,","2026-02-19T09:39:17.366012Z"
"",54,61,"1","@hytalltush5676","Nitamsrap grinning_face_with_sweat  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.2892692983150482,"2026-02-19T09:39:32.177078Z",16888,"Threats/Violence","Mixed",12.099,1,"neutral or positive","2025-09-02T18:44:47Z","Nitamsrap😅😂😂😂","2026-02-19T09:39:32.177078Z"
"",55,62,"1","@MercyKooro-og7xe","Huyu jamaa ni mkora,chunga sana msichana.",0.3468154370784759,"2026-02-19T09:43:18.044234Z",16889,"Cyberbullying/Harassment","Mixed",221.964,1,"neutral or positive","2025-09-02T11:35:11Z","Huyu jamaa ni mkora,chunga sana msichana.","2026-02-19T09:43:18.044234Z"
"",56,63,"1","@VictorOnyango-sv2hl"," crying_face eti mbona nikubali nishikwe nikicheat,, face_with_tears_of_joy  ni Malaya in secret",0.2860970199108124,"2026-02-19T09:43:40.208475Z",16890,"Offensive (Non-Targeted)","Mixed",20.537,0,"offensive language","2025-08-31T23:59:38Z","😢eti mbona nikubali nishikwe nikicheat,,😂 ni Malaya in secret","2026-02-19T09:43:40.208475Z"
"",57,64,"1","@Musick_2996","mwenzako ako wapi ??",0.2756668329238891,"2026-02-19T09:43:57.819606Z",16891,"Neutral/Positive","Swahili",15.323,0,"irony","2025-08-31T20:33:13Z","mwenzako ako wapi ??","2026-02-19T09:43:57.819606Z"
"",58,65,"1","@Musick_2996","hio ni kiazala  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing ",0.3584056794643402,"2026-02-19T09:44:15.661643Z",16892,"Neutral/Positive","Mixed",16.55,0,"irony","2025-08-31T20:32:42Z","hio ni kiazala 🤣🤣","2026-02-19T09:44:15.661643Z"
"",59,66,"1","@LydiaKwamboka-w3r","Kuna hii jina anasema shy kidsign zhy rolling_on_the_floor_laughing  rolling_on_the_floor_laughing ",0.3923071026802063,"2026-02-19T09:44:35.729003Z",16893,"Neutral/Positive","Mixed",18.677,2,"offensive language","2025-08-31T04:20:58Z","Kuna hii jina anasema shy kidsign zhy🤣🤣","2026-02-19T09:44:35.729003Z"
"",60,67,"1","@Kiliku_stars_band","Uyu jamaa amekua moto xn",0.3512588441371918,"2026-02-19T09:44:41.630849Z",16894,"Constructive Criticism","Mixed",3.581,0,"neutral or positive","2025-08-31T04:20:41Z","Uyu jamaa amekua moto xn","2026-02-19T09:44:41.630849Z"
"",61,68,"1","@ifgodsayyes.nobodycansayno1796","Obina ashaanza kuaribu show mara yule wa kutukana wa kenya  mara  hawa bado aanze kurekodi ngono",0.4729341566562652,"2026-02-19T09:45:16.753812Z",16895,"Defamation","Mixed",34.162,3,"offensive language","2025-08-30T16:01:26Z","Obina ashaanza kuaribu show mara yule wa kutukana wa kenya  mara  hawa bado aanze kurekodi ngono","2026-02-19T09:45:16.753812Z"
"",62,69,"1","@KhaizoPleish-hm5td"," red_heart  red_heart  red_heart  red_heart  red_heart ",0.3162250220775604,"2026-02-19T09:45:20.994791Z",16896,"Neutral/Positive","Mixed",3.245,0,"offensive language","2025-08-27T15:33:45Z","❤❤❤❤❤","2026-02-19T09:45:20.994791Z"
"",63,70,"1","@KhaizoPleish-hm5td"," face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.3409749865531921,"2026-02-19T09:45:24.451976Z",16897,"Neutral/Positive","Mixed",2.617,0,"neutral or positive","2025-08-27T15:33:36Z","😂😂😂😂😂","2026-02-19T09:45:24.451976Z"
"",64,71,"1","@margaretmwanyalo7277","huyu na Pamela wako sawa wangeoana face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.6164228916168213,"2026-02-19T09:45:47.162825Z",16898,"Neutral/Positive","Mixed",19.113,0,"neutral or positive","2025-08-27T07:43:21Z","huyu na Pamela wako sawa wangeoana😂😂😂😂","2026-02-19T09:45:47.162825Z"
"",65,72,"1","@NicoleDelta-r1k","Uyu ni ule wa captain??",0.3396580815315246,"2026-02-19T09:46:10.281142Z",16899,"Neutral/Positive","Mixed",21.884,0,"neutral or positive","2025-08-26T19:12:51Z","Uyu ni ule wa captain??","2026-02-19T09:46:10.281142Z"
"",66,73,"1","@japhethmumo-r5r","kwani huku ni wapi face_with_rolling_eyes  face_with_rolling_eyes  face_with_rolling_eyes  face_with_rolling_eyes ",0.4405888617038727,"2026-02-19T09:46:14.365906Z",16900,"Neutral/Positive","Mixed",2.729,0,"offensive language","2025-08-25T11:17:52Z","kwani huku ni wapi🙄🙄🙄🙄","2026-02-19T09:46:14.365906Z"
"",67,74,"1","@MERCYSmile-x3x","Nawapenda kama siringi my people  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy eish  enyewe kiswahili can be hard  sometimes",0.3370189368724823,"2026-02-19T09:46:34.938348Z",16901,"Neutral/Positive","Mixed",19.048,0,"neutral or positive","2025-08-20T13:01:39Z","Nawapenda kama siringi my people 😂😂😂eish  enyewe kiswahili can be hard  sometimes","2026-02-19T09:46:34.938348Z"
"",68,75,"1","@Wanjirumungai-F","Never trust anyone in this world  only Jesus is trustable  face_with_tears_of_joy  face_with_tears_of_joy ",0.4085448682308197,"2026-02-19T09:46:40.618242Z",16902,"Constructive Criticism","Mixed",4.309,0,"neutral or positive","2025-08-15T19:52:58Z","Never trust anyone in this world  only Jesus is trustable 😂😂","2026-02-19T09:46:40.618242Z"
"",69,76,"1","@Wanjirumungai-F","Obina moyoni anabubujika face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ",0.6035690903663635,"2026-02-19T09:46:44.727491Z",16903,"Neutral/Positive","Mixed",2.927,0,"offensive language","2025-08-15T19:45:37Z","Obina moyoni anabubujika😂😂😂😂😂😂","2026-02-19T09:46:44.729377Z"
"",70,77,"1","@rehemanyiro3689","Obina,"" mambo ni yako"" face_with_tears_of_joy  face_with_tears_of_joy  raising_hands ",0.3362995088100433,"2026-02-19T09:47:04.165754Z",16904,"Neutral/Positive","Swahili",18.535,0,"offensive language","2025-08-12T21:46:22Z","Obina,"" mambo ni yako""😂😂🙌","2026-02-19T09:47:04.165754Z"
"",71,78,"1","@CashNamanga","mkisii ni mkisii to ha ha",0.5872911214828491,"2026-02-19T09:47:32.845466Z",16905,"Hate Speech","Mixed",25.442,0,"neutral or positive","2025-08-12T11:04:53Z","mkisii ni mkisii to ha ha","2026-02-19T09:47:32.845466Z"
"",72,79,"1","@millicentauma3103","Hakuna mapenzi hapa",0.7401543259620667,"2026-02-19T09:48:25.012956Z",16906,"Offensive (Non-Targeted)","Mixed",50.973,0,"neutral or positive","2025-08-11T14:26:34Z","Hakuna mapenzi hapa","2026-02-19T09:48:25.012956Z"
"",73,80,"1","@Ruthkerosi","Stevo simple boy wa Kisii sikio la kufa halisikii ndewe",0.5217114090919495,"2026-02-19T09:48:52.076994Z",16907,"Constructive Criticism","Swahili",26.113,0,"neutral or positive","2025-08-11T01:42:43Z","Stevo simple boy wa Kisii sikio la kufa halisikii ndewe","2026-02-19T09:48:52.076994Z"
