Unnamed: 0.1,author,text,likes,published_at,Unnamed: 0,clean_text,predicted_label,confidence_score
28,@SharonAchila,😂😂😂😂😂😂😂😂,0,2026-01-21T11:40:50Z,, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.3207330107688904
29,@GilbertBarasa-lm6cm,Obinnna uko sure ujambao,0,2026-01-20T11:17:13Z,,Obinnna uko sure ujambao,offensive language,0.2927223742008209
30,@naomiksaro,Ety sikio la kufa haliskii ndewe🤣🤣 mniuwe sasa😅,1,2026-01-17T08:12:54Z,,Ety sikio la kufa haliskii ndewe rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  mniuwe sasa grinning_face_with_sweat ,irony,0.3296958208084106
31,@janenjoki-tx5or,Stupid kiss,0,2026-01-12T13:11:11Z,,Stupid kiss,offensive language,0.328770250082016
32,@DEEOTEMBA,"Is this normal ni swali tu please 
I don't have a lawyer",1,2026-01-11T10:28:25Z,,"Is this normal ni swali tu please 
I don't have a lawyer",neutral or positive,0.3045394122600555
33,@NelQaz,1:07 culture 😂😂😂,0,2026-01-10T22:56:29Z,,1:07 culture  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.4753528833389282
34,@WayneArnold-e1n1e,wow alikuwa kukifa na njaa,0,2026-01-10T18:31:09Z,,wow alikuwa kukifa na njaa,irony,0.2799327969551086
35,@Samuelmusyimi-zy1ts,Wakiachana msikose kutusho..juh hapa kuna mtu kitamramba,1,2025-12-11T09:07:45Z,,Wakiachana msikose kutusho..juh hapa kuna mtu kitamramba,neutral or positive,0.3835363686084747
36,@MercyFaustine,Lakini wanaume,0,2025-12-05T13:36:51Z,,Lakini wanaume,neutral or positive,0.3335524201393127
37,@IsmaelOwino-i7p,obina wewe unatuuwa na mautamuuu,0,2025-12-01T15:32:54Z,,obina wewe unatuuwa na mautamuuu,offensive language,0.4462186396121979
38,@EstherAsamba-x7n,Mkisii ameona soda for the 1st time amesahau kuongea😅😅,4,2025-11-29T16:10:00Z,,Mkisii ameona soda for the 1st time amesahau kuongea grinning_face_with_sweat  grinning_face_with_sweat ,offensive language,0.4271021485328674
39,@EdithChepkemoi-p1f,Mambo imechemka😢😂😂😂,0,2025-11-29T07:34:59Z,,Mambo imechemka crying_face  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.2708083689212799
40,@salomendungwa,Sabrina yawa,0,2025-11-14T22:50:43Z,,Sabrina yawa,neutral or positive,0.3145445585250854
41,@AngelineMwanza-z3v,May this kind of love locate my ex😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0,2025-11-14T13:26:13Z,,May this kind of love locate my ex grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat ,offensive language,0.4464227259159088
42,@marymwelu5320,"Mkisii Ni mkisii tu,,,,uyu naye apanaae",0,2025-10-28T13:02:15Z,,"Mkisii Ni mkisii tu,,,,uyu naye apanaae",neutral or positive,0.5506964921951294
43,@Ashley.15-p3c,Sabrina ANACHEKACHEKA Kama malaya mpya,0,2025-10-04T06:12:37Z,,Sabrina ANACHEKACHEKA Kama malaya mpya,neutral or positive,0.4014542698860168
44,@NeshLencixine,"What was the interview obinnah please 🙏, I'm confused 😕🤔🤔😂😂",0,2025-10-02T20:35:04Z,,"What was the interview obinnah please  folded_hands , I'm confused  confused_face  thinking_face  thinking_face  face_with_tears_of_joy  face_with_tears_of_joy ",offensive language,0.5348947048187256
45,@NeshLencixine,"This man he is so complicated 😅😅😅, please obinnah use Kiswahili language kindly 😅😅😅",0,2025-10-02T20:28:55Z,,"This man he is so complicated  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat , please obinnah use Kiswahili language kindly  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat ",offensive language,0.382118672132492
46,@DennisotienoAgunda,Lakini wakisi niwajinga kupita kiyasi,0,2025-09-20T20:02:47Z,,Lakini wakisi niwajinga kupita kiyasi,neutral or positive,0.4803745448589325
47,@KwambokaNaom,Aki Kuna comment hapa imenimaliza..eti jamaa alikuja kwa show akiwa njaa amepiga juice kama robot,2,2025-09-14T19:46:39Z,,Aki Kuna comment hapa imenimaliza..eti jamaa alikuja kwa show akiwa njaa amepiga juice kama robot,irony,0.3343691527843475
48,@JaclineKaberia,Wawawawa laugh😅😅😅😅😅,0,2025-09-13T15:03:23Z,,Wawawawa laugh grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat ,irony,0.5571532249450684
49,@alicewanja1603,Hapa Nooo! Mchezo,0,2025-09-09T09:10:53Z,,Hapa Nooo! Mchezo,neutral or positive,0.3770716786384582
50,@DorisMike-sj9ph,Aki wakisii😅😅,0,2025-09-08T08:39:49Z,,Aki wakisii grinning_face_with_sweat  grinning_face_with_sweat ,neutral or positive,0.290958434343338
51,@clemohhushy3428,"cheneras,,hambo😂😂",0,2025-09-07T21:55:35Z,,"cheneras,,hambo face_with_tears_of_joy  face_with_tears_of_joy ",offensive language,0.3550579845905304
52,@user-h2h8r,Kwani huyu jamaa Ni bwenge,0,2025-09-06T22:50:34Z,,Kwani huyu jamaa Ni bwenge,constructive criticism,0.3366467356681824
53,@virginiakilungu1863,"Sasa obina hawa wajiga unatoanga wapi,",0,2025-09-05T09:43:44Z,,"Sasa obina hawa wajiga unatoanga wapi,",offensive language,0.3883265554904938
54,@hytalltush5676,Nitamsrap😅😂😂😂,1,2025-09-02T18:44:47Z,,Nitamsrap grinning_face_with_sweat  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.2892692983150482
55,@MercyKooro-og7xe,"Huyu jamaa ni mkora,chunga sana msichana.",1,2025-09-02T11:35:11Z,,"Huyu jamaa ni mkora,chunga sana msichana.",neutral or positive,0.3468154370784759
56,@VictorOnyango-sv2hl,"😢eti mbona nikubali nishikwe nikicheat,,😂 ni Malaya in secret",0,2025-08-31T23:59:38Z,," crying_face eti mbona nikubali nishikwe nikicheat,, face_with_tears_of_joy  ni Malaya in secret",offensive language,0.2860970199108124
57,@Musick_2996,mwenzako ako wapi ??,0,2025-08-31T20:33:13Z,,mwenzako ako wapi ??,irony,0.2756668329238891
58,@Musick_2996,hio ni kiazala 🤣🤣,0,2025-08-31T20:32:42Z,,hio ni kiazala  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing ,irony,0.3584056794643402
59,@LydiaKwamboka-w3r,Kuna hii jina anasema shy kidsign zhy🤣🤣,2,2025-08-31T04:20:58Z,,Kuna hii jina anasema shy kidsign zhy rolling_on_the_floor_laughing  rolling_on_the_floor_laughing ,offensive language,0.3923071026802063
60,@Kiliku_stars_band,Uyu jamaa amekua moto xn,0,2025-08-31T04:20:41Z,,Uyu jamaa amekua moto xn,neutral or positive,0.3512588441371918
61,@ifgodsayyes.nobodycansayno1796,Obina ashaanza kuaribu show mara yule wa kutukana wa kenya  mara  hawa bado aanze kurekodi ngono,3,2025-08-30T16:01:26Z,,Obina ashaanza kuaribu show mara yule wa kutukana wa kenya  mara  hawa bado aanze kurekodi ngono,offensive language,0.4729341566562652
62,@KhaizoPleish-hm5td,❤❤❤❤❤,0,2025-08-27T15:33:45Z,, red_heart  red_heart  red_heart  red_heart  red_heart ,offensive language,0.3162250220775604
63,@KhaizoPleish-hm5td,😂😂😂😂😂,0,2025-08-27T15:33:36Z,, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.3409749865531921
64,@margaretmwanyalo7277,huyu na Pamela wako sawa wangeoana😂😂😂😂,0,2025-08-27T07:43:21Z,,huyu na Pamela wako sawa wangeoana face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.6164228916168213
65,@NicoleDelta-r1k,Uyu ni ule wa captain??,0,2025-08-26T19:12:51Z,,Uyu ni ule wa captain??,neutral or positive,0.3396580815315246
66,@japhethmumo-r5r,kwani huku ni wapi🙄🙄🙄🙄,0,2025-08-25T11:17:52Z,,kwani huku ni wapi face_with_rolling_eyes  face_with_rolling_eyes  face_with_rolling_eyes  face_with_rolling_eyes ,offensive language,0.4405888617038727
67,@MERCYSmile-x3x,Nawapenda kama siringi my people 😂😂😂eish  enyewe kiswahili can be hard  sometimes,0,2025-08-20T13:01:39Z,,Nawapenda kama siringi my people  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy eish  enyewe kiswahili can be hard  sometimes,neutral or positive,0.3370189368724823
68,@Wanjirumungai-F,Never trust anyone in this world  only Jesus is trustable 😂😂,0,2025-08-15T19:52:58Z,,Never trust anyone in this world  only Jesus is trustable  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.4085448682308197
69,@Wanjirumungai-F,Obina moyoni anabubujika😂😂😂😂😂😂,0,2025-08-15T19:45:37Z,,Obina moyoni anabubujika face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.6035690903663635
70,@rehemanyiro3689,"Obina,"" mambo ni yako""😂😂🙌",0,2025-08-12T21:46:22Z,,"Obina,"" mambo ni yako"" face_with_tears_of_joy  face_with_tears_of_joy  raising_hands ",offensive language,0.3362995088100433
71,@CashNamanga,mkisii ni mkisii to ha ha,0,2025-08-12T11:04:53Z,,mkisii ni mkisii to ha ha,neutral or positive,0.5872911214828491
72,@millicentauma3103,Hakuna mapenzi hapa,0,2025-08-11T14:26:34Z,,Hakuna mapenzi hapa,neutral or positive,0.7401543259620667
73,@Ruthkerosi,Stevo simple boy wa Kisii sikio la kufa halisikii ndewe,0,2025-08-11T01:42:43Z,,Stevo simple boy wa Kisii sikio la kufa halisikii ndewe,neutral or positive,0.5217114090919495
74,@TabithaNzoka,Huyu anakaa culture ama n nani,0,2025-08-10T22:16:50Z,,Huyu anakaa culture ama n nani,neutral or positive,0.51752769947052
75,@larozmusic_,Young boy plz Go and larn how to kiss  first,0,2025-08-10T03:24:11Z,,Young boy plz Go and larn how to kiss  first,offensive language,0.345944732427597
76,@LuizyLiz-q2b,"❤❤❤,,uwii nakosa mwelekeo",0,2025-08-09T18:09:58Z,," red_heart  red_heart  red_heart ,,uwii nakosa mwelekeo",hate speech,0.3184221982955932
77,@simonkituo4248,😂😂😂😂😂😂hii imeweza,0,2025-08-09T17:19:15Z,, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy hii imeweza,neutral or positive,0.3960894644260406
78,@MaggKen,Lusungu jamani 😅,0,2025-08-09T09:37:21Z,,Lusungu jamani  grinning_face_with_sweat ,neutral or positive,0.3322830498218536
79,@teshman2648,Ata wewe pusu,0,2025-08-09T04:34:48Z,,Ata wewe pusu,offensive language,0.340847373008728
80,@nyaozilnyao8849,Huyo ni mkora wakiwa na mojeje watakucheza 😂😂,1,2025-08-08T18:32:45Z,,Huyo ni mkora wakiwa na mojeje watakucheza  face_with_tears_of_joy  face_with_tears_of_joy ,offensive language,0.4758265912532806
81,@amarhsmart..,Sufufu la penzi,0,2025-08-08T17:41:34Z,,Sufufu la penzi,constructive criticism,0.3305345177650451
82,@amarhsmart..,😂😂😂😂😂😂WAH,0,2025-08-08T17:40:18Z,, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy WAH,neutral or positive,0.3162184059619903
83,@betricemainoya4176,"Obina hizi shoo zako zingine za matabia , unakumbuka za yule jamaa wa wake 2 walikuwa wanaingea mambo ya mijulus mbele ya watoto Infront of camera show inaonekana East Africa nzima, na huyu mshangazi wa kunyinywa Kila mahali and now this kissing kwa intaview unajiangusha broo",0,2025-08-08T12:22:25Z,,"Obina hizi shoo zako zingine za matabia , unakumbuka za yule jamaa wa wake 2 walikuwa wanaingea mambo ya mijulus mbele ya watoto Infront of camera show inaonekana East Africa nzima, na huyu mshangazi wa kunyinywa Kila mahali and now this kissing kwa intaview unajiangusha broo",offensive language,0.7909203171730042
84,@NancyChebet-m7p,😅ni yule wa blabla eeeh syllabus is moving aya twende nalo,0,2025-08-07T23:39:16Z,, grinning_face_with_sweat ni yule wa blabla eeeh syllabus is moving aya twende nalo,irony,0.6174827218055725
85,@atienosom2620,Apira prilling potatoes 😂,0,2025-08-07T14:31:16Z,,Apira prilling potatoes  face_with_tears_of_joy ,constructive criticism,0.2605205774307251
86,@josephmuia4835,"Hao ulitoa wapi obina ,? very stupid",0,2025-08-07T09:05:47Z,,"Hao ulitoa wapi obina ,? very stupid",offensive language,0.507105827331543
87,@biggiebizzie812,"Alikuja interview akiwa njaa huyu sokoro, ana pigwa juice mbio mbio 😅😅😅",0,2025-08-07T08:49:49Z,,"Alikuja interview akiwa njaa huyu sokoro, ana pigwa juice mbio mbio  grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat ",offensive language,0.4822964072227478
88,@hawatei2876,😂😂😂😂😂😂😂 nawaao,0,2025-08-06T02:25:23Z,, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  nawaao,offensive language,0.3215257823467254
89,@Noahmarkx,Nonesense,0,2025-08-05T12:28:23Z,,Nonesense,offensive language,0.3702569901943207
90,@RuthMaelo-q7h,😂😂😂😂,0,2025-08-05T09:03:37Z,, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.3975022137165069
91,@myqueousoh5647,Morally wrong,0,2025-08-05T05:50:07Z,,Morally wrong,offensive language,0.4413357675075531
92,@fancymercy814,Wakisii wanakisiiana😂😂❤❤hai!!!But huyu demu ni mrembo sana roho safi❤,2,2025-08-05T05:20:35Z,,Wakisii wanakisiiana face_with_tears_of_joy  face_with_tears_of_joy  red_heart  red_heart hai!!!But huyu demu ni mrembo sana roho safi red_heart ,hate speech,0.2597514688968658
93,@tawazobennard,Obina walae unaonanga mambo mengi kweli,2,2025-08-05T05:04:32Z,,Obina walae unaonanga mambo mengi kweli,offensive language,0.3414379060268402
94,@wilky1-R254,Wakisii mumefikiws 😂😂😂😂🎉🎉🎉,0,2025-08-05T00:43:11Z,,Wakisii mumefikiws  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  party_popper  party_popper  party_popper ,offensive language,0.3100651204586029
95,@lilianmuindi8729,Aty nakupenda kama shilingi kwa ya pili yawa this is too much😅😅😅,0,2025-08-04T14:01:45Z,,Aty nakupenda kama shilingi kwa ya pili yawa this is too much grinning_face_with_sweat  grinning_face_with_sweat  grinning_face_with_sweat ,offensive language,0.7121501564979553
96,@kadzo6614,🚮,0,2025-08-04T13:45:35Z,, litter_in_bin_sign ,offensive language,0.5394356846809387
97,@rugushyvessel2288,"Huyu jamaaa!!! Anaeza choma na moto ya kuni 😂😂😂😂😂😂weeeh!

But the kagal , she's  composed and mature",3,2025-08-04T05:55:30Z,,"Huyu jamaaa!!! Anaeza choma na moto ya kuni  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy weeeh!

But the kagal , she's  composed and mature",offensive language,0.2786504030227661
98,@Kennedywesonga-r9g,Sikio la kufa halisikii ndewe,0,2025-08-03T18:52:57Z,,Sikio la kufa halisikii ndewe,neutral or positive,0.3333092629909515
99,@aronaurun8555,Siringi kwa ya piri ndio gani😂😂,0,2025-08-03T16:23:07Z,,Siringi kwa ya piri ndio gani face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.4418744444847107
100,@omwami-j,Subscribe ❤🙏,13,2025-07-30T10:21:01Z,0.0,Subscribe  red_heart  folded_hands ,neutral or positive,0.2882929146289825
101,@LAKACHELAKACHE,😂😂😂😂Yani place ilifanyiwa ni ya kitajiri but ile bogi irikuja wacha TU najua hapo mpaka kunguni iliacha 😂😂😂😂,0,2026-01-13T10:58:54Z,1.0, face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy Yani place ilifanyiwa ni ya kitajiri but ile bogi irikuja wacha TU najua hapo mpaka kunguni iliacha  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.3536019325256347
102,@Mwikalip68,Hiii ni saw❤❤❤❤❤❤🎉🎉🎉🎉🎉,0,2025-12-10T07:23:23Z,2.0,Hiii ni saw red_heart  red_heart  red_heart  red_heart  red_heart  red_heart  party_popper  party_popper  party_popper  party_popper  party_popper ,hate speech,0.4797544479370117
103,@LilianKemuto-q9v8u,Kwa harusi hakunanga rules hiyo ni siku yako na haiwezi jirudia so hawa waliamua kuvunja record hii ndio furaha hakuna kuambiwa kitu ya kudu,0,2025-12-03T14:43:50Z,3.0,Kwa harusi hakunanga rules hiyo ni siku yako na haiwezi jirudia so hawa waliamua kuvunja record hii ndio furaha hakuna kuambiwa kitu ya kudu,irony,0.6226449608802795
104,@bela-063,Riswa riswa,0,2025-11-20T12:07:32Z,4.0,Riswa riswa,irony,0.5291721224784851
105,@slumboymatellah,ni nani huyo alifanya harusi wa kwanza ndio achie hawa wasee?,0,2025-11-05T05:56:10Z,5.0,ni nani huyo alifanya harusi wa kwanza ndio achie hawa wasee?,offensive language,0.3679752349853515
106,@IsaacMwanzali-s8v,"Mbogi nayo kubanja,,, dah!",1,2025-10-24T09:11:27Z,6.0,"Mbogi nayo kubanja,,, dah!",offensive language,0.2853669822216034
107,@kizitochacha,"Hii ni event ya kuosha pesa aka money laundering, hakuna harusi hapo",0,2025-10-04T11:32:46Z,7.0,"Hii ni event ya kuosha pesa aka money laundering, hakuna harusi hapo",neutral or positive,0.5521998405456543
108,@DominicWasilwa,Hiii ilikua biggy,0,2025-09-28T16:37:34Z,8.0,Hiii ilikua biggy,irony,0.388853907585144
109,@charityndichu4332,Mungu nipatie patero sasa😅,0,2025-09-28T04:49:45Z,9.0,Mungu nipatie patero sasa grinning_face_with_sweat ,irony,0.3110514879226684
110,@YusraMbeyu-m8e,Ila Kenya waaah😂😂😂😂,0,2025-09-23T13:03:31Z,10.0,Ila Kenya waaah face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy ,neutral or positive,0.3513257503509521
111,@Firog6004,Kwani made hawakutokea,0,2025-09-20T01:36:41Z,11.0,Kwani made hawakutokea,neutral or positive,0.3592306077480316
112,@kamauwilliamk,"Life iko hivyo, nothing makes sense.... Anymore 😂😂just do what you love 💕",0,2025-09-19T15:03:21Z,12.0,"Life iko hivyo, nothing makes sense.... Anymore  face_with_tears_of_joy  face_with_tears_of_joy just do what you love  two_hearts ",neutral or positive,0.3217649757862091
113,@victordeekenya3539,Following from Nairobi Kenya 🇰🇪 We congratulate them,0,2025-09-16T16:25:34Z,13.0,Following from Nairobi Kenya  Kenya  We congratulate them,constructive criticism,0.4728054404258728
114,@teejayangel6638,He is man enough to marry. I respect them both for that very bold move. Marriage is not for children.,0,2025-09-15T11:39:19Z,14.0,He is man enough to marry. I respect them both for that very bold move. Marriage is not for children.,neutral or positive,0.3585565388202667
115,@athertonwisdom5442,The realest support you can ever have. These guys were truly happy for their guy and that's a real deal man..,0,2025-09-14T15:12:55Z,15.0,The realest support you can ever have. These guys were truly happy for their guy and that's a real deal man..,neutral or positive,0.3879334926605224
