,category,language,likes,published_at,sentiment,subcategory,text,clean_text
19,Constructive,English,0,2025-07-28T16:29:36Z,Positive,Supportive Speech,Wow I like the show ❤😊,wow i like the show red_heart smiling_face_with_smiling_eyes
20,Constructive,Kenyan_slang,1,2025-07-28T16:29:29Z,Neutral,Performance-based,Kwani watu huwatch bila kulike 😅 juu tumekuwa watu almost 4.5K how comes likes 2.4k,kwani watu huwatch bila kulike grinning_face_with_sweat juu tumekuwa watu almost 4.5k how comes likes 2.4k
21,Others,Kenyan_slang,1,2025-07-28T16:29:02Z,Positive,General Others,I've never watched obbina show but for this nlikua nkingoja snaaaaa😂😂,ive never watched <person> show but for this nlikua nkingoja snaa face_with_tears_of_joy face_with_tears_of_joy
22,Others,Kenyan_slang,0,2025-07-28T16:28:47Z,Positive,General Others,ARSENAL SIKU ZOMBOOOOOOOOOOOOOO,arsenal siku zomboo
23,Constructive,Kenyan_slang,0,2025-07-28T16:28:41Z,Positive,Supportive Speech,Nmenice ❤😂😂😂,nmenice red_heart face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
24,Others,Kenyan_slang,0,2025-07-28T16:28:27Z,Neutral,General Inquiry,Huyu anaongelelea Naira ama😢,huyu anaongelelea <person> ama crying_face
25,Others,Kenyan_slang,0,2025-07-28T16:28:16Z,Positive,General Others,"After Show ya Ndeke, this one has brought me back here 😂","after show ya ndeke, this one has brought me back here face_with_tears_of_joy"
26,Constructive,Kenyan_slang,1,2025-07-28T16:27:37Z,Positive,Supportive Speech,The wedding of the year🎉🎉🎉🎉❤I loved this😂😂love like this,the wedding of the year party_popper party_popper party_popper party_popper red_heart i loved this face_with_tears_of_joy face_with_tears_of_joy love like this
27,Constructive,Kenyan_slang,0,2025-07-28T16:27:21Z,Positive,Supportive Speech,Tuko locked,tuko locked
28,Others,Swahili,0,2025-07-28T16:26:06Z,Neutral,General Others,Wueeeeeh,wueeh
29,Others,Kenyan_slang,0,2025-07-28T16:25:49Z,Positive,General Others,wozolo,wozolo
30,Constructive,Kenyan_slang,1,2025-07-28T16:25:21Z,Positive,Supportive Speech,Hi n fire c fire 🔥 😂😂,hi n fire c fire fire face_with_tears_of_joy face_with_tears_of_joy
31,Others,Swahili,2,2025-07-28T16:25:19Z,Positive,General Others,Mtu wangu najua uko comment section 😢😢😢,mtu wangu najua uko comment section crying_face crying_face crying_face
32,Others,Kenyan_slang,12,2025-07-28T16:25:08Z,Neutral,General Others,Hii ni jaba 😮500m ya Tanzania,hii ni jaba face_with_open_mouth 500m ya tanzania
33,Others,Emoji,0,2025-07-28T16:25:01Z,Positive,General Others,😅😅😅😅,grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat
34,Others,English,7,2025-07-28T16:24:40Z,Positive,General Others,Game make the relationship to be strong 💪❣️,game make the relationship to be strong flexed_biceps heart_exclamation
35,Irony,English,58,2025-07-28T16:24:14Z,Neutral,Hyperbolic understatement,The more u ask the more u get confused 😂😂😂😂,the more u ask the more u get confused face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
36,Others,Kenyan_slang,7,2025-07-28T16:24:09Z,Neutral,General Others,Brought up in Eastland but hi sheng imenipita,brought up in eastland but hi sheng imenipita
37,Others,Swahili,0,2025-07-28T16:23:47Z,Neutral,General Others,Mimi pia,mimi pia
38,Others,Kenyan_slang,0,2025-07-28T16:23:41Z,Positive,General Others,Nataka kma huyu bad boy wanakuaga na mapenzi,nataka kma huyu bad boy wanakuaga na mapenzi
39,Constructive,English,18,2025-07-28T16:23:24Z,Positive,Supportive Speech,Diana my friend am happy for you congrats,<person> my friend am happy for you congrats
40,Constructive,Kenyan_slang,0,2025-07-28T16:23:15Z,Positive,Supportive Speech,Wueh😂,wueh face_with_tears_of_joy
41,Others,Kenyan_slang,0,2025-07-28T16:21:45Z,Positive,General Others,"Me niliskia guardian Angel hapa amepigwa 10 -1 but ,but hii gang imenibamba kivyake acha wajinice","me niliskia guardian angel hapa amepigwa 10 -1 but ,but hii gang imenibamba kivyake acha wajinice"
42,Others,Swahili,0,2025-07-28T16:21:24Z,Positive,General Others,Tuko huku hii wedo imetugusa na. muambia petelo nataka ghetto,tuko huku hii wedo imetugusa na. muambia petelo nataka ghetto
43,Others,Swahili,1,2025-07-28T16:21:14Z,Positive,General Others,Hachoki shigo aki😢😢😢,hachoki shigo aki crying_face crying_face crying_face
44,Constructive,Kenyan_slang,65,2025-07-28T16:21:08Z,Positive,Supportive Speech,The only marriage I know that will have happy endings no tears nimechange maombi  God Kama Tu ya Dee,the only marriage i know that will have happy endings no tears nimechange maombi god kama tu ya <person>
45,Constructive,English,18,2025-07-28T16:20:35Z,Positive,Supportive Speech,The wedding was superb😊this is just the  best wedding of the year🎉,the wedding was superb smiling_face_with_smiling_eyes this is just the best wedding of the year party_popper
46,Constructive,Emoji,0,2025-07-28T16:19:40Z,Positive,Supportive Speech,❤❤❤❤❤❤,red_heart red_heart red_heart red_heart red_heart red_heart
47,Others,Kenyan_slang,0,2025-07-28T16:18:50Z,Neutral,General Others,Ni 4.2M ya Tanzania au uganda,ni 4.2m ya tanzania au uganda
48,Others,Kenyan_slang,47,2025-07-28T16:18:15Z,Positive,General Others,Bro amejielewa mbayaaa big upp,bro amejielewa mbayaaa big upp
49,Others,English,3,2025-07-28T16:17:43Z,Positive,General Others,500 Million😂😂,500 million face_with_tears_of_joy face_with_tears_of_joy
50,Constructive,Swahili,2,2025-07-28T16:17:03Z,Positive,Supportive Speech,Tumengoja,tumengoja
51,Irony,Kenyan_slang,11,2025-07-28T16:16:35Z,Neutral,Hyperbolic understatement,Za VJ patelo zimeshika kama laana ya Raila 😂,za <person> zimeshika kama laana ya raila face_with_tears_of_joy
52,Constructive,Kenyan_slang,6,2025-07-28T16:16:25Z,Positive,Supportive Speech,love from UG +256 big up PATELO bro😊,love from ug 256 big up <person> bro smiling_face_with_smiling_eyes
53,Constructive,Kenyan_slang,18,2025-07-28T16:16:09Z,Positive,Genuine feedback,Nilijua tu obinna lazima atuletee power couple,nilijua tu <person> lazima atuletee power couple
54,Constructive,English,27,2025-07-28T16:15:49Z,Positive,Supportive Speech,But the guy is vibe😂😂,but the guy is vibe face_with_tears_of_joy face_with_tears_of_joy
55,Constructive,English,20,2025-07-28T16:15:29Z,Positive,Genuine Praise,"The wife is chill and beautiful,  and  rich❤❤❤","the wife is chill and beautiful, and rich red_heart red_heart red_heart"
56,Constructive,Kenyan_slang,2,2025-07-28T16:15:08Z,Positive,Supportive Speech,He inafaa kushare tuko lock in mbaya sana😂🎉,he inafaa kushare tuko lock in mbaya sana face_with_tears_of_joy party_popper
57,Constructive,Kenyan_slang,0,2025-07-28T16:14:46Z,Positive,Supportive Speech,😂😂😂vibes,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy vibes
58,Constructive,Kenyan_slang,2,2025-07-28T16:14:42Z,Positive,Supportive Speech,I just had to manmnn🎉🎉🎉🎉😂😂😂😂Confirmation😂😂❤❤,i just had to manmnn party_popper party_popper party_popper party_popper face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy confirmation face_with_tears_of_joy face_with_tears_of_joy red_heart red_heart
59,Constructive,Kenyan_slang,0,2025-07-28T16:14:41Z,Positive,Supportive Speech,Hii show ni kali😅😅🔥🔥🔥🔥,hii show ni kali grinning_face_with_sweat grinning_face_with_sweat fire fire fire fire
60,Others,English,0,2025-07-28T16:14:28Z,Positive,General Others,Diana stand up 😂,<person> stand up face_with_tears_of_joy
61,Irony,Kenyan_slang,127,2025-07-28T16:14:21Z,Neutral,Hyperbolic understatement,"Vile tu my husband amesema 😂😂

The more you dig into the question the more  you be confused",vile tu my husband amesema face_with_tears_of_joy face_with_tears_of_joy the more you dig into the question the more you be confused
62,Constructive,Kenyan_slang,0,2025-07-28T16:13:59Z,Positive,Supportive Speech,😂😂aaah,face_with_tears_of_joy face_with_tears_of_joy aaah
63,Constructive,Kenyan_slang,0,2025-07-28T16:13:51Z,Positive,Supportive Speech,alonglilo siku zombo😁😁,alonglilo siku zombo beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes
64,Constructive,Emoji,0,2025-07-28T16:13:27Z,Positive,Supportive Speech,😂😂😂,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
65,Others,Kenyan_slang,3,2025-07-28T16:13:10Z,Positive,General Others,waa sionaga izi show lakini leooo 😂😂,waa sionaga izi show lakini leooo face_with_tears_of_joy face_with_tears_of_joy
66,Constructive,Swahili,29,2025-07-28T16:13:03Z,Positive,Supportive Speech,Hii nayo lazima ni watch hapa... zingine mi huwatch TikTok 😂😂,hii nayo lazima ni watch hapa... zingine mi huwatch tiktok face_with_tears_of_joy face_with_tears_of_joy
67,Constructive,Kenyan_slang,0,2025-07-28T16:13:00Z,Positive,Supportive Speech,Movement ni jamuu 😂😂,movement ni jamuu face_with_tears_of_joy face_with_tears_of_joy
68,Constructive,English,31,2025-07-28T16:12:55Z,Positive,Supportive Speech,The boy is smart 😂😂..,the boy is smart face_with_tears_of_joy face_with_tears_of_joy ..
69,Others,Swahili,0,2025-07-28T16:12:52Z,Neutral,General Others,Leo obiezaa amepatana na maubayaa,leo obiezaa amepatana na maubayaa
70,Constructive,Kenyan_slang,272,2025-07-28T16:12:36Z,Positive,Supportive Speech,"Comment section imejaa watu wako na wivu mbaya , the lady is beautiful whether shes old ....and u can see the love in both .... congrats guyz","comment section imejaa watu wako na wivu mbaya , the lady is beautiful whether shes old ..and u can see the love in both .. congrats guyz"
71,Constructive,Kenyan_slang,0,2025-07-28T16:12:27Z,Positive,Supportive Speech,Sijawahi tamani Wedding but hii yao imefanya nitamani East to The World,sijawahi tamani wedding but hii yao imefanya nitamani east to the world
72,Constructive,Kenyan_slang,1,2025-07-28T16:12:15Z,Positive,Supportive Speech,Love like dis😂❤️,love like dis face_with_tears_of_joy red_heart
73,Constructive,English,2,2025-07-28T16:12:05Z,Positive,Supportive Speech,29 weeeh as long as they are happy...,29 weeeh as long as they are happy...
74,Others,English,1,2025-07-28T16:12:00Z,Neutral,General Others,Very hard interview.,very hard interview.
75,Constructive,Kenyan_slang,0,2025-07-28T16:11:47Z,Positive,Supportive Speech,Ata kidogo nikuambie u host the couple ju....I just love them,ata kidogo nikuambie u host the couple ju..i just love them
76,Constructive,Kenyan_slang,0,2025-07-28T16:11:29Z,Positive,Genuine feedback,"Omba,piga bidii,piga tizi, focus=kuomoka","omba,piga bidii,piga tizi, focuskuomoka"
77,Constructive,Swahili,0,2025-07-28T16:11:12Z,Positive,Genuine Praise,Aki huyu dem anagalia obenaa aki,aki huyu dem anagalia obenaa aki
78,Irony,Kenyan_slang,17,2025-07-28T16:10:16Z,Neutral,Hyperbolic understatement,Hapo kwa 500M ametupima akii😂😂😂,hapo kwa 500m ametupima akii face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
79,Constructive,English,16,2025-07-28T16:10:15Z,Positive,Supportive Speech,This man is wise..he talks like a thomed person,this man is wise..he talks like a thomed person
80,Constructive,Kenyan_slang,40,2025-07-28T16:10:07Z,Positive,Supportive Speech,Toka Qatar tuko ndakas😊😊😊😊 tunataka love like this,toka qatar tuko ndakas smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes tunataka love like this
81,Constructive,Kenyan_slang,0,2025-07-28T16:09:34Z,Positive,Supportive Speech,Leo nayo nimefika uku😂😂😂Tena ontime😊,leo nayo nimefika uku face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy tena ontime smiling_face_with_smiling_eyes
82,Constructive,Swahili,1,2025-07-28T16:09:21Z,Positive,Supportive Speech,Toka Qatar tuko ndani,toka qatar tuko ndani
83,Constructive,Swahili,1,2025-07-28T16:08:57Z,Positive,Supportive Speech,Sitaki kuwatch tiktok wacha ntulie😅😅😅,sitaki kuwatch tiktok wacha ntulie grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat
84,Constructive,Kenyan_slang,0,2025-07-28T16:08:44Z,Positive,Supportive Speech,Tuko bana,tuko bana
85,Constructive,English,25,2025-07-28T16:08:27Z,Positive,Supportive Speech,Walikuwa wamechoka sana 😂 hiyo harusi haikuwa mchezo 😂🎉 congratulations to them,walikuwa wamechoka sana face_with_tears_of_joy hiyo harusi haikuwa mchezo face_with_tears_of_joy party_popper congratulations to them
86,Irony,Kenyan_slang,2,2025-07-28T16:08:08Z,Positive,Hyperbolic understatement,God nilikuwa na niwe kama hawa but ulinibless na father Abraham 😅😅😅,god nilikuwa na niwe kama hawa but ulinibless na father <person> grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat
87,Constructive,Swahili,1,2025-07-28T16:07:43Z,Positive,Supportive Speech,Hii ndio Inabamba 🎉🎉🎉,hii ndio inabamba party_popper party_popper party_popper
88,Constructive,Kenyan_slang,13,2025-07-28T16:07:12Z,Positive,Supportive Speech,Eiiish gown was expensive than Akoth ilikuwa ya 700k the guy is blessed ❤❤,eiiish gown was expensive than <person> ilikuwa ya 700k the guy is blessed red_heart red_heart
89,Irony,Swahili,1,2025-07-28T16:06:33Z,Positive,Supportive Speech,Niko ndaniiii 🔥🔥 waiting,niko ndanii fire fire waiting
90,Cyberbullying,Kenyan_slang,1,2025-07-28T16:06:22Z,Negative,Direct Insult,Unafanya nini chura ya last year~ Domani mkadinali,unafanya nini chura ya last year <person>
91,Others,Kenyan_slang,1,2025-07-28T16:05:09Z,Neutral,General Others,Wazup kwli ama whatsapp,wazup kwli ama whatsapp
92,Others,English,468,2025-07-28T16:05:06Z,Neutral,General Others,"Let’s hit 1 MILLION SUBSCRIBERS!
Thank you so much for the love and support. If you’re enjoying the content, don’t forget to subscribe, like, and share. Let’s grow together  we’re just getting started!","lets hit 1 million subscribers! thank you so much for the love and support. if youre enjoying the content, dont forget to subscribe, like, and share. lets grow together were just getting started!"
93,Constructive,Swahili,3,2025-07-28T16:05:04Z,Neutral,Supportive Speech,Mume sikia kuomoka si rahisi 😂😂😂,mume sikia kuomoka si rahisi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
94,Cyberbullying,Kenyan_slang,2,2025-07-28T16:04:55Z,Negative,Body shaming,I think this lady anafanya plastic surgery,i think this lady anafanya plastic surgery
95,Constructive,Swahili,340,2025-07-28T16:03:41Z,Positive,Supportive Speech,Huwa siwatch hizi show but nikasema hii haiwezi nipita,huwa siwatch hizi show but nikasema hii haiwezi nipita
96,Offensive,Swahili,1,2025-07-28T16:03:39Z,Negative,Vulgar language (Matusi),Sura mbaya suruali safi😂😂😂,sura mbaya suruali safi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
97,Constructive,Swahili,3,2025-07-28T16:03:32Z,Positive,Supportive Speech,Pia me nadai love like this❤❤❤,pia me nadai love like this red_heart red_heart red_heart
98,Others,Swahili,1,2025-07-28T16:03:18Z,Neutral,General Others,Obinna aelewi😂😂,<person> aelewi face_with_tears_of_joy face_with_tears_of_joy
99,Constructive,Kenyan_slang,0,2025-07-28T16:01:41Z,Positive,Supportive Speech,Wakudumu Siku Zobo👊👊,wakudumu siku zobo oncoming_fist oncoming_fist
100,Others,Swahili,0,2025-07-28T16:01:12Z,Positive,General Others,Wepesi wako mafutani,wepesi wako mafutani
101,Others,Kenyan_slang,0,2025-07-28T16:01:11Z,Positive,General Others,😂Yee ni short anapiga🤭🫠,face_with_tears_of_joy yee ni short anapiga face_with_hand_over_mouth melting_face
102,Cyberbullying,Kenyan_slang,10,2025-07-28T16:00:45Z,Negative,Humiliation,"Don't hate on me but this lady is old, the neck speaks language very few would understand 😂😂,  nsinipige","dont hate on me but this lady is old, the neck speaks language very few would understand face_with_tears_of_joy face_with_tears_of_joy , nsinipige"
103,Constructive,English,64,2025-07-28T15:59:54Z,Positive,Supportive Speech,The wife so chill and beautiful❤❤❤❤,the wife so chill and beautiful red_heart red_heart red_heart red_heart
104,Constructive,Kenyan_slang,0,2025-07-28T15:59:33Z,Positive,Supportive Speech,ni mpaka shomwi-Mpaka mwisho,ni mpaka shomwi-mpaka mwisho
105,Offensive,Swahili,1,2025-07-28T15:59:22Z,Negative,Vulgar language (Matusi),Upuuzi 😢😢😢,upuuzi crying_face crying_face crying_face
106,Constructive,Swahili,0,2025-07-28T15:59:06Z,Positive,Supportive Speech,Vile nimekimbia huku,vile nimekimbia huku
107,Others,Kenyan_slang,0,2025-07-28T15:58:35Z,Neutral,General Others,Jujamaica,jujamaica
108,Constructive,Kenyan_slang,11,2025-07-28T15:58:06Z,Positive,Supportive Speech,Barshosho All the way 💪💪💪💪,barshosho all the way flexed_biceps flexed_biceps flexed_biceps flexed_biceps
109,Others,Swahili,4,2025-07-28T15:57:18Z,Neutral,General Others,ndo kutoka x kuona uhondo,ndo kutoka x kuona uhondo
110,Constructive,Kenyan_slang,0,2025-07-28T15:57:18Z,Positive,Supportive Speech,Umeskia ni mentor😅😅😅,umeskia ni mentor grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat
111,Constructive,Kenyan_slang,9,2025-07-28T15:57:06Z,Positive,Supportive Speech,Wakudumu atadumu🎉🎉🎉,wakudumu atadumu party_popper party_popper party_popper
112,Constructive,English,2,2025-07-28T15:55:56Z,Positive,Genuine feedback,Wedding of year,wedding of year
113,Irony,English,38,2025-07-28T15:55:53Z,Neutral,Hyperbolic understatement,The more you dig to question the more you dig to the confusion,the more you dig to question the more you dig to the confusion
114,Constructive,Emoji,1,2025-07-28T15:55:32Z,Positive,Supportive Speech,❤♨️♨️♨️♨️,red_heart hot_springs hot_springs hot_springs hot_springs
115,Constructive,Emoji,0,2025-07-28T15:54:20Z,Positive,Supportive Speech,❤❤❤❤❤❤❤,red_heart red_heart red_heart red_heart red_heart red_heart red_heart
116,Constructive,Kenyan_slang,2,2025-07-28T15:54:13Z,Positive,Supportive Speech,East siku zomborrrrr❤❤❤❤,east siku zomborr red_heart red_heart red_heart red_heart
117,Irony,Swahili,2,2025-07-28T15:54:03Z,Neutral,Hyperbolic understatement,Leo wamekula ile ya pipu😂😂,leo wamekula ile ya pipu face_with_tears_of_joy face_with_tears_of_joy
118,Constructive,Kenyan_slang,3,2025-07-28T15:53:53Z,Positive,Supportive Speech,Waite kartelo hapa akiii😂😂😂😂😂 hawa wata rhyme  videadly,waite <person> hapa akiii face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy hawa wata rhyme videadly
119,Others,Kenyan_slang,10,2025-07-28T15:53:49Z,Positive,General Others,Babygirl ako shy,babygirl ako shy
120,Others,Kenyan_slang,0,2025-07-28T15:52:11Z,Neutral,General Others,Mbogi ya masimp,mbogi ya masimp
121,Constructive,English,0,2025-07-28T15:51:52Z,Positive,Supportive Speech,Love like this,love like this
122,Constructive,Kenyan_slang,3,2025-07-28T15:51:46Z,Positive,Supportive Speech,Wakudumu watadumu ❤💯👌,wakudumu watadumu red_heart hundred_points ok_hand
123,Constructive,Kenyan_slang,58,2025-07-28T15:51:19Z,Positive,Supportive Speech,"God bless you mtoto wangu Obinna , Naomba tu Uniite kwa show yako Niko na story . Your oldest fan Monze kilonzi over 60years old.","god bless you mtoto wangu <person> , naomba tu uniite kwa show yako niko na story . your oldest fan monze kilonzi over 60years old."
124,Constructive,Kenyan_slang,12,2025-07-28T15:50:58Z,Positive,Supportive Speech,The show was amazing weeee hao ni full vibe thanks Obinna show for hosting thrm,the show was amazing wee hao ni full vibe thanks <person> show for hosting thrm
125,Constructive,English,1,2025-07-28T15:50:52Z,Positive,Genuine Praise,Really waiting,really waiting
126,Others,Kenyan_slang,0,2025-07-28T15:50:45Z,Positive,General Others,Kwani hawakueda honeymoon 😂😂,kwani hawakueda honeymoon face_with_tears_of_joy face_with_tears_of_joy
127,Constructive,Swahili,9,2025-07-28T15:50:22Z,Positive,Supportive Speech,😂😂😂😂😂😂shangwe hallelujah😂😂😂 Hii nayo nimependa❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy shangwe hallelujah face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy hii nayo nimependa red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart
128,Constructive,Swahili,1,2025-07-28T15:50:16Z,Positive,Supportive Speech,Siku zote👊👊,siku zote oncoming_fist oncoming_fist
129,Constructive,Kenyan_slang,8,2025-07-28T15:49:33Z,Negative,Corrective clarification,I SUGGEST OBINNA SHOULD INTRODUCE KATELO TO THE SHOW KUNA VIJANA MAURU WANATAKA TUU MAURU MWENZAO...HUYU MZEE HAJAINGIA KWA AKILI YA HAWA LOVERBIRDS WOTE AMETUANGUSHA,i suggest <person> should introduce katelo to the show kuna vijana mauru wanataka tuu mauru mwenzao...huyu mzee hajaingia kwa akili ya hawa loverbirds wote ametuangusha
130,Constructive,English,4,2025-07-28T15:49:19Z,Positive,Supportive Speech,Wow 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,wow party_popper party_popper party_popper party_popper party_popper party_popper party_popper party_popper party_popper party_popper
131,Constructive,Kenyan_slang,20,2025-07-28T15:49:16Z,Positive,Supportive Speech,Patelo mpeeni tu time mtapenda he's very handsome,<person> mpeeni tu time mtapenda hes very handsome
132,Others,Kenyan_slang,13,2025-07-28T15:48:14Z,Positive,General Others,Kumi na nne supuu😅😅😅😂😂,kumi na nne supuu grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat face_with_tears_of_joy face_with_tears_of_joy
133,Irony,English,33,2025-07-28T15:47:51Z,Neutral,Hyperbolic understatement,The more you ask questions the more you get confused,the more you ask questions the more you get confused
134,Others,Kenyan_slang,3,2025-07-28T15:47:35Z,Neutral,General Others,Kumi na nne supu,kumi na nne supu
135,Constructive,Emoji,0,2025-07-28T15:45:25Z,Positive,Supportive Speech,❤❤❤❤,red_heart red_heart red_heart red_heart
136,Constructive,Kenyan_slang,3,2025-07-28T15:45:22Z,Positive,Supportive Speech,East siku zombo🤜🤛,east siku zombo right-facing_fist left-facing_fist
137,Constructive,Swahili,6,2025-07-28T15:45:18Z,Positive,Supportive Speech,Aki obi barikiwa nangoja iyo  ngoma makit lazma itakuwa kali sana,aki <person> barikiwa nangoja iyo ngoma makit lazma itakuwa kali sana
138,Constructive,Kenyan_slang,28,2025-07-28T15:45:09Z,Positive,Supportive Speech,clarks ziko clean 😍😍😍😍,clarks <person> clean smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes
139,Others,Swahili,1145,2025-07-28T15:44:48Z,Neutral,General Others,Wenye wametoka tiktok let's gather here,wenye wametoka tiktok lets gather here
140,Constructive,Kenyan_slang,2,2025-07-28T15:44:43Z,Positive,Supportive Speech,Hizo chuom mbaya ndio zetu,hizo chuom mbaya ndio zetu
141,Constructive,Kenyan_slang,2,2025-07-28T15:44:26Z,Neutral,Supportive Speech,Tuko radaaa denno dartelo apa,tuko radaaa <person> apa
142,Others,Kenyan_slang,1,2025-07-28T15:44:10Z,Neutral,General Others,Denno dartelo,<person>
143,Others,English,61,2025-07-28T15:44:07Z,Positive,General Others,I wonder why I also love bad boyz😂,i wonder why i also love bad boyz face_with_tears_of_joy
144,Irony,Kenyan_slang,11,2025-07-28T15:43:59Z,Neutral,Hyperbolic understatement,Ati 500 million hivo tu na ata hajali 😂😂😂😅,ati 500 million hivo tu na ata hajali face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy grinning_face_with_sweat
145,Others,Kenyan_slang,0,2025-07-28T15:43:48Z,Neutral,General Others,Deno dartel,<person>
146,Constructive,Swahili,5,2025-07-28T15:43:37Z,Positive,Supportive Speech,Mungu andika hapo kama hii 😂😂😂,mungu andika hapo kama hii face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
147,Constructive,Swahili,0,2025-07-28T15:43:33Z,Positive,Supportive Speech,Ii vile tumeifwata tiktok lazma tungeifwata,ii vile tumeifwata tiktok lazma tungeifwata
