,category,language,likes,published_at,sentiment,subcategory,text,clean_text
10,Constructive Criticism,Code Switching,0,2026-02-05T23:36:38Z,Neutral,Decision-criticism,Rubbish this is not only  immoral but also unafrican ....wacha kuharibu watoto wetu....There are things made in private ......This is like walking naked .......obinna stopairing such crab.,rubbish this is not only immoral but also unafrican .. <name> <name> watoto wetu .. there are things made in private .. this is like walking naked .. <name> stopairing such crab .
11,Irony/Sarcasm,Code Switching,0,2026-02-05T07:36:32Z,Negative,Mock compliment,🤣🤣🤣🤣🤣obina's eyes.,rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing obina s eyes .
12,Cyberbullying,Code Switching,0,2026-02-04T14:12:58Z,Negative,Defamation,Huyu lazima acheat!!,huyu lazima acheat ! !
13,Irony/Sarcasm,Code Switching,0,2026-02-04T14:06:06Z,Negative,Mock compliment,"Wakisii wanapenda sota matiaba!!! ,(Cola drinks)","wakisii wanapenda sota matiaba ! ! ! , cola drinks"
14,Irony/Sarcasm,Code Switching,0,2026-02-04T14:03:14Z,Negative,Mock compliment,Mkisii? Siringi kwa ya piri....,mkisii ? <name> <name> <name> <name> ..
15,Irony/Sarcasm,Code Switching,0,2026-02-03T22:18:10Z,Negative,Mock compliment,aty nikububujike 😂na penzi,aty nikububujike facewithtearsofjoy na penzi
16,Others,Swahili,1,2026-02-03T20:16:54Z,Neutral,General Inquiry,Alafu obina kwani miwani Yako haioni????😂😂😂😂,<name> <name> <name> miwani <name> <name> ? ? ? ? facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
17,Constructive Criticism,Code Switching,0,2026-02-03T20:13:09Z,Neutral,Performance-based,Obina iyo macho😂😂😂😂😂😂,<name> iyo macho facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
18,Irony/Sarcasm,Code Switching,2,2026-02-03T19:25:03Z,Negative,Mock compliment,May this kind of love never locate my ex 😂😂😂,may this kind of love never locate my ex facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
19,Irony/Sarcasm,Code Switching,1,2026-02-03T19:09:18Z,Negative,Mock Laughter,😂😅🤣🤣🤣🤣hki wakisii mtavunja bavu langu weh,facewithtearsofjoy grinningfacewithsweat rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing hki wakisii <name> <name> <name> <name>
20,Irony/Sarcasm,Code Switching,1,2026-02-02T22:05:47Z,Negative,Rhetorical Question,Wonders will never end.Tuko hapa tunawangojea end of year,wonders will never end . tuko hapa tunawangojea end of year
21,Offensive,Plain Emoji,0,2026-01-31T17:34:57Z,Negative,Non-personal,🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮😒🤨🙄,nauseatedface facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting unamusedface facewithraisedeyebrow facewithrollingeyes
22,Irony/Sarcasm,Code Switching,2,2026-01-31T16:26:04Z,Negative,Hyperbolic understatement,Hata wakiss kwa TV wataachana tu next week,hata wakiss kwa tv wataachana tu next week
23,Others,Plain Emoji,0,2026-01-30T15:11:43Z,Neutral,General Others,😅😅😅😅,grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat
24,Irony/Sarcasm,Code Switching,0,2026-01-30T11:31:35Z,Neutral,Mock compliment,Nko apo kwa puzu ya roho😂😂😂😂,nko apo kwa <name> <name> <name> <name> facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
25,Irony/Sarcasm,Code Switching,0,2026-01-29T10:30:22Z,Positive,Rhetorical Question,Weeh Hawa wako Na shida aki,weeh hawa wako na shida aki
26,Irony/Sarcasm,Code Switching,0,2026-01-26T23:10:01Z,Negative,Mock compliment,Sikio la Ndewe halisikii kufa😂😂😂😂😂😂am finished,<name> <name> <name> halisikii kufa facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy am finished
27,Hate Speech,Swahili,0,2026-01-26T11:25:31Z,Negative,Ethical/racial group (Tribalism),Awa warudi kisii sasa😂😂😂,awa warudi kisii sasa facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
28,Irony/Sarcasm,Plain Emoji,0,2026-01-21T11:40:50Z,Negative,Mock Laughter,😂😂😂😂😂😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
29,Cyberbullying,Code Switching,0,2026-01-20T11:17:13Z,Negative,Sexual harassment,Obinnna uko sure ujambao,obinna uko sure ujambao
30,Irony/Sarcasm,Code Switching,1,2026-01-17T08:12:54Z,Negative,Mock compliment,Ety sikio la kufa haliskii ndewe🤣🤣 mniuwe sasa😅,ety sikio la kufa haliskii ndewe <name> <name> mniuwe sasa grinningfacewithsweat
31,Offensive,English,0,2026-01-12T13:11:11Z,Negative,Non-personal,Stupid kiss,stupid kiss
32,Others,Code Switching,1,2026-01-11T10:28:25Z,Neutral,General Inquiry,"Is this normal ni swali tu please 
I don't have a lawyer",is this normal ni <name> <name> <name> i do nt have a lawyer
33,Irony/Sarcasm,Plain Emoji,0,2026-01-10T22:56:29Z,Negative,Mock Laughter,1:07 culture 😂😂😂,107 <name> facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
34,Irony/Sarcasm,Code Switching,0,2026-01-10T18:31:09Z,Negative,Rhetorical Question,wow alikuwa kukifa na njaa,wow alikuwa kukifa na njaa
35,Irony/Sarcasm,Code Switching,1,2025-12-11T09:07:45Z,Negative,Hyperbolic understatement,Wakiachana msikose kutusho..juh hapa kuna mtu kitamramba,wakiachana msikose kutusho .. <name> <name> <name> mtu kitamramba
36,Others,Swahili,0,2025-12-05T13:36:51Z,Neutral,General Others,Lakini wanaume,lakini wanaume
37,Constructive Criticism,Code Switching,0,2025-12-01T15:32:54Z,Neutral,Performance-based,obina wewe unatuuwa na mautamuuu,<name> <name> unatuuwa na mautamuu
38,Hate Speech,Code Switching,4,2025-11-29T16:10:00Z,Negative,Ethical/racial group (Tribalism),Mkisii ameona soda for the 1st time amesahau kuongea😅😅,mkisii ameona soda for the 1st time amesahau kuongea grinningfacewithsweat grinningfacewithsweat
39,Irony/Sarcasm,Swahili,0,2025-11-29T07:34:59Z,Negative,Hyperbolic understatement,Mambo imechemka😢😂😂😂,mambo imechemka cryingface facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
40,Others,Code Switching,0,2025-11-14T22:50:43Z,Neutral,General Others,Sabrina yawa,<name> yawa
41,Irony/Sarcasm,English,0,2025-11-14T13:26:13Z,Negative,Mock compliment,May this kind of love locate my ex😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,may this kind of love locate my ex grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat
42,Hate Speech,Code Switching,0,2025-10-28T13:02:15Z,Negative,Ethical/racial group (Tribalism),"Mkisii Ni mkisii tu,,,,uyu naye apanaae","<name> <name> mkisii tu,,uyu naye apanaae"
43,Offensive,Code Switching,0,2025-10-04T06:12:37Z,Negative,Vulgar language (Matusi),Sabrina ANACHEKACHEKA Kama malaya mpya,<name> anachekacheka kama malaya mpya
44,Others,English,0,2025-10-02T20:35:04Z,Neutral,General Inquiry,"What was the interview obinnah please 🙏, I'm confused 😕🤔🤔😂😂","what was the interview obinnah please foldedhands , i m confused confusedface <name> <name> facewithtearsofjoy facewithtearsofjoy"
45,Constructive Criticism,English,0,2025-10-02T20:28:55Z,Neutral,Genuine feedback,"This man he is so complicated 😅😅😅, please obinnah use Kiswahili language kindly 😅😅😅","this man he is so complicated grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat , please obinnah use kiswahili language kindly grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat"
46,Hate Speech,Code Switching,0,2025-09-20T20:02:47Z,Negative,Ethical/racial group (Tribalism),Lakini wakisi niwajinga kupita kiyasi,lakini wakisi <name> <name> kiyasi
47,Irony/Sarcasm,Code Switching,2,2025-09-14T19:46:39Z,Negative,Mock compliment,Aki Kuna comment hapa imenimaliza..eti jamaa alikuja kwa show akiwa njaa amepiga juice kama robot,<name> <name> comment hapa imenimaliza .. <name> <name> alikuja kwa show <name> <name> amepiga juice kama robot
48,Irony/Sarcasm,Code Switching,0,2025-09-13T15:03:23Z,Negative,Mock Laughter,Wawawawa laugh😅😅😅😅😅,wawawawa laugh grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat
49,Irony/Sarcasm,Swahili,0,2025-09-09T09:10:53Z,Negative,Hyperbolic understatement,Hapa Nooo! Mchezo,<name> <name> ! mchezo
50,Irony/Sarcasm,Code Switching,0,2025-09-08T08:39:49Z,Negative,Mock Laughter,Aki wakisii😅😅,aki wakisii grinningfacewithsweat grinningfacewithsweat
51,Irony/Sarcasm,Sheng,0,2025-09-07T21:55:35Z,Neutral,Mock Laughter,"cheneras,,hambo😂😂","cheneras,,hambo facewithtearsofjoy facewithtearsofjoy"
52,Offensive,Swahili,0,2025-09-06T22:50:34Z,Negative,Vulgar language (Matusi),Kwani huyu jamaa Ni bwenge,kwani huyu jamaa <name> bwenge
53,Offensive,Code Switching,0,2025-09-05T09:43:44Z,Negative,Vulgar language (Matusi),"Sasa obina hawa wajiga unatoanga wapi,","sasa obina hawa wajiga unatoanga wapi ,"
54,Irony/Sarcasm,Code Switching,1,2025-09-02T18:44:47Z,Negative,Mock compliment,Nitamsrap😅😂😂😂,<name> grinningfacewithsweat facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
55,Offensive,Code Switching,1,2025-09-02T11:35:11Z,Negative,Vulgar language (Matusi),"Huyu jamaa ni mkora,chunga sana msichana.","huyu jamaa <name> <name> , <name> <name> <name> ."
56,Irony/Sarcasm,Code Switching,0,2025-08-31T23:59:38Z,Negative,Mock compliment,"😢eti mbona nikubali nishikwe nikicheat,,😂 ni Malaya in secret","cryingface eti mbona nikubali nishikwe nikicheat , , facewithtearsofjoy ni malaya in secret"
57,Others,English,0,2025-08-31T20:33:13Z,Neutral,General Inquiry,mwenzako ako wapi ??,<name> <name> <name> ? ?
58,Constructive Criticism,Code Switching,0,2025-08-31T20:32:42Z,Neutral,Genuine feedback,hio ni kiazala 🤣🤣,<name> <name> <name> rollingonthefloorlaughing rollingonthefloorlaughing
59,Irony/Sarcasm,Code Switching,2,2025-08-31T04:20:58Z,Negative,Mock compliment,Kuna hii jina anasema shy kidsign zhy🤣🤣,<name> <name> <name> anasema shy kidsign zhy rollingonthefloorlaughing rollingonthefloorlaughing
60,Constructive Criticism,Code Switching,0,2025-08-31T04:20:41Z,Neutral,Genuine Praise,Uyu jamaa amekua moto xn,uyu jamaa amekua moto xn
61,Constructive Criticism,Code Switching,3,2025-08-30T16:01:26Z,Neutral,Performance-based,Obina ashaanza kuaribu show mara yule wa kutukana wa kenya  mara  hawa bado aanze kurekodi ngono,obina ashaanza kuaribu show mara yule wa kutukana wa <name> mara hawa bado aanze <name> <name>
62,Constructive Criticism,Plain Emoji,0,2025-08-27T15:33:45Z,Positive,Genuine Praise,❤❤❤❤❤,redheart redheart redheart redheart redheart
63,Irony/Sarcasm,Plain Emoji,0,2025-08-27T15:33:36Z,Negative,Mock Laughter,😂😂😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
64,Irony/Sarcasm,Code Switching,0,2025-08-27T07:43:21Z,Neutral,Mock compliment,huyu na Pamela wako sawa wangeoana😂😂😂😂,huyu na <name> wako sawa wangeoana facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
65,Others,Code Switching,0,2025-08-26T19:12:51Z,Neutral,General Inquiry,Uyu ni ule wa captain??,uyu ni ule wa <name> ? ?
66,Others,Code Switching,0,2025-08-25T11:17:52Z,Neutral,General Inquiry,kwani huku ni wapi🙄🙄🙄🙄,<name> <name> <name> wapi facewithrollingeyes facewithrollingeyes facewithrollingeyes facewithrollingeyes
67,Irony/Sarcasm,Code Switching,0,2025-08-20T13:01:39Z,Negative,Mock compliment,Nawapenda kama siringi my people 😂😂😂eish  enyewe kiswahili can be hard  sometimes,nawapenda kama siringi my people facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy eish <name> <name> can be hard sometimes
68,Constructive Criticism,English,0,2025-08-15T19:52:58Z,Positive,Supportive Speech,Never trust anyone in this world  only Jesus is trustable 😂😂,never trust anyone in this world only <name> is trustable facewithtearsofjoy facewithtearsofjoy
69,Irony/Sarcasm,Code Switching,0,2025-08-15T19:45:37Z,Negative,Mock compliment,Obina moyoni anabubujika😂😂😂😂😂😂,<name> moyoni anabubujika facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
70,Constructive Criticism,Code Switching,0,2025-08-12T21:46:22Z,Positive,Genuine Praise,"Obina,"" mambo ni yako""😂😂🙌","<name> , mambo ni yako facewithtearsofjoy facewithtearsofjoy raisinghands"
71,Irony/Sarcasm,Code Switching,0,2025-08-12T11:04:53Z,Negative,Mock compliment,mkisii ni mkisii to ha ha,<name> <name> mkisii to ha ha
72,Constructive Criticism,Swahili,0,2025-08-11T14:26:34Z,Neutral,Performance-based,Hakuna mapenzi hapa,hakuna mapenzi hapa
73,Offensive,Code Switching,0,2025-08-11T01:42:43Z,Negative,Vulgar language (Matusi),Stevo simple boy wa Kisii sikio la kufa halisikii ndewe,<name> simple boy wa kisii sikio la kufa halisikii ndewe
74,Others,Code Switching,0,2025-08-10T22:16:50Z,Neutral,General Inquiry,Huyu anakaa culture ama n nani,huyu anakaa <name> ama n nani
75,Cyberbullying,Code Switching,0,2025-08-10T03:24:11Z,Negative,Direct Insult,Young boy plz Go and larn how to kiss  first,young boy plz go and larn how to kiss first
76,Others,Code Switching,0,2025-08-09T18:09:58Z,Neutral,General Others,"❤❤❤,,uwii nakosa mwelekeo","redheart redheart redheart , , uwii nakosa mwelekeo"
77,Constructive Criticism,Code Switching,0,2025-08-09T17:19:15Z,Positive,Genuine Praise,😂😂😂😂😂😂hii imeweza,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy hii imeweza
78,Irony/Sarcasm,Code Switching,0,2025-08-09T09:37:21Z,Negative,Mock Laughter,Lusungu jamani 😅,lusungu jamani grinningfacewithsweat
79,Irony/Sarcasm,Code Switching,0,2025-08-09T04:34:48Z,Negative,Rhetorical Question,Ata wewe pusu,<name> wewe pusu
80,Offensive,Code Switching,1,2025-08-08T18:32:45Z,Negative,Vulgar language (Matusi),Huyo ni mkora wakiwa na mojeje watakucheza 😂😂,huyo ni <name> <name> na mojeje watakucheza facewithtearsofjoy facewithtearsofjoy
81,Irony/Sarcasm,Swahili,0,2025-08-08T17:41:34Z,Negative,Mock compliment,Sufufu la penzi,<name> <name> <name>
82,Irony/Sarcasm,Plain Emoji,0,2025-08-08T17:40:18Z,Negative,Mock Laughter,😂😂😂😂😂😂WAH,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy wah
83,Constructive Criticism,Code Switching,0,2025-08-08T12:22:25Z,Neutral,Performance-based,"Obina hizi shoo zako zingine za matabia , unakumbuka za yule jamaa wa wake 2 walikuwa wanaingea mambo ya mijulus mbele ya watoto Infront of camera show inaonekana East Africa nzima, na huyu mshangazi wa kunyinywa Kila mahali and now this kissing kwa intaview unajiangusha broo","obina hizi shoo <name> <name> za matabia , <name> <name> yule jamaa wa wake 2 walikuwa wanaingea mambo <name> <name> <name> <name> <name> infront of camera show inaonekana east africa nzima , na huyu mshangazi wa kunyinywa kila mahali and now this kissing kwa intaview unajiangusha broo"
84,Constructive Criticism,Code Switching,0,2025-08-07T23:39:16Z,Neutral,Genuine feedback,😅ni yule wa blabla eeeh syllabus is moving aya twende nalo,grinningfacewithsweat ni yule wa blabla eeh syllabus is moving aya twende nalo
85,Irony/Sarcasm,Code Switching,0,2025-08-07T14:31:16Z,Negative,Mock compliment,Apira prilling potatoes 😂,apira prilling potatoes facewithtearsofjoy
86,Offensive,Code Switching,0,2025-08-07T09:05:47Z,Negative,Vulgar language (Matusi),"Hao ulitoa wapi obina ,? very stupid","hao ulitoa wapi obina , ? very stupid"
87,Irony/Sarcasm,Code Switching,0,2025-08-07T08:49:49Z,Negative,Mock compliment,"Alikuja interview akiwa njaa huyu sokoro, ana pigwa juice mbio mbio 😅😅😅","alikuja interview akiwa njaa huyu sokoro , ana pigwa juice <name> <name> grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat"
88,Irony/Sarcasm,Plain Emoji,0,2025-08-06T02:25:23Z,Negative,Mock Laughter,😂😂😂😂😂😂😂 nawaao,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy nawaao
89,Offensive,English,0,2025-08-05T12:28:23Z,Negative,Vulgar language (Matusi),Nonesense,nonesense
90,Irony/Sarcasm,Plain Emoji,0,2025-08-05T09:03:37Z,Negative,Mock Laughter,😂😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
91,Constructive Criticism,Code Switching,0,2025-08-05T05:50:07Z,Neutral,Corrective clarification,Morally wrong,morally wrong
92,Constructive Criticism,Code Switching,2,2025-08-05T05:20:35Z,Neutral,Genuine feedback,Wakisii wanakisiiana😂😂❤❤hai!!!But huyu demu ni mrembo sana roho safi❤,wakisii wanakisiiana facewithtearsofjoy facewithtearsofjoy redheart redheart hai!!but huyu demu ni mrembo <name> roho safi redheart
93,Constructive Criticism,Code Switching,2,2025-08-05T05:04:32Z,Neutral,Genuine feedback,Obina walae unaonanga mambo mengi kweli,obina <name> <name> <name> <name> <name>
94,Constructive Criticism,Code Switching,0,2025-08-05T00:43:11Z,Positive,Genuine Praise,Wakisii mumefikiws 😂😂😂😂🎉🎉🎉,wakisii mumefikiws facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy partypopper partypopper partypopper
95,Irony/Sarcasm,Code Switching,0,2025-08-04T14:01:45Z,Negative,Mock compliment,Aty nakupenda kama shilingi kwa ya pili yawa this is too much😅😅😅,aty nakupenda kama shilingi <name> <name> <name> <name> this is too much grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat
96,Offensive,Plain Emoji,0,2025-08-04T13:45:35Z,Negative,Vulgar language (Matusi),🚮,litterinbinsign
97,Irony/Sarcasm,Code Switching,3,2025-08-04T05:55:30Z,Neutral,Mock compliment,"Huyu jamaaa!!! Anaeza choma na moto ya kuni 😂😂😂😂😂😂weeeh!

But the kagal , she's  composed and mature","huyu jamaa ! ! ! anaeza choma na moto ya kuni facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy weeh ! but the kagal , she s composed and mature"
98,Constructive Criticism,Code Switching,0,2025-08-03T18:52:57Z,Neutral,Genuine feedback,Sikio la kufa halisikii ndewe,<name> <name> <name> halisikii ndewe
99,Others,Code Switching,0,2025-08-03T16:23:07Z,Neutral,General Inquiry,Siringi kwa ya piri ndio gani😂😂,siringi kwa <name> <name> <name> <name> facewithtearsofjoy facewithtearsofjoy
100,Others,Code Switching,13,2025-07-30T10:21:01Z,Neutral,Spam,Subscribe ❤🙏,subscribe redheart foldedhands
101,Irony/Sarcasm,Code Switching,0,2026-01-13T10:58:54Z,Negative,Mock compliment,😂😂😂😂Yani place ilifanyiwa ni ya kitajiri but ile bogi irikuja wacha TU najua hapo mpaka kunguni iliacha 😂😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy yani place <name> <name> <name> <name> but ile bogi irikuja wacha tu najua hapo mpaka kunguni iliacha facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
102,Constructive Criticism,Code Switching,0,2025-12-10T07:23:23Z,Positive,Genuine Praise,Hiii ni saw❤❤❤❤❤❤🎉🎉🎉🎉🎉,hii ni saw redheart redheart redheart redheart redheart redheart partypopper partypopper partypopper partypopper partypopper
103,Constructive Criticism,Code Switching,0,2025-12-03T14:43:50Z,Positive,Supportive Speech,Kwa harusi hakunanga rules hiyo ni siku yako na haiwezi jirudia so hawa waliamua kuvunja record hii ndio furaha hakuna kuambiwa kitu ya kudu,kwa harusi hakunanga rules hiyo ni siku yako na haiwezi jirudia so hawa waliamua kuvunja record <name> <name> furaha hakuna <name> <name> <name> <name>
104,Irony/Sarcasm,Code Switching,0,2025-11-20T12:07:32Z,Negative,Mock compliment,Riswa riswa,riswa riswa
105,Others,Code Switching,0,2025-11-05T05:56:10Z,Neutral,General Others,ni nani huyo alifanya harusi wa kwanza ndio achie hawa wasee?,<name> <name> <name> <name> <name> wa kwanza ndio achie hawa wasee ?
106,Constructive Criticism,Code Switching,1,2025-10-24T09:11:27Z,Neutral,Genuine feedback,"Mbogi nayo kubanja,,, dah!","<name> <name> <name> , , , dah !"
107,Irony/Sarcasm,Code Switching,0,2025-10-04T11:32:46Z,Negative,Mock compliment,"Hii ni event ya kuosha pesa aka money laundering, hakuna harusi hapo","hii ni event <name> <name> pesa aka money laundering , hakuna <name> <name>"
108,Constructive Criticism,Code Switching,0,2025-09-28T16:37:34Z,Neutral,Genuine feedback,Hiii ilikua biggy,hii <name> <name>
109,Irony/Sarcasm,Code Switching,0,2025-09-28T04:49:45Z,Negative,Mock compliment,Mungu nipatie patero sasa😅,mungu nipatie <name> sasa grinningfacewithsweat
110,Irony/Sarcasm,Code Switching,0,2025-09-23T13:03:31Z,Negative,Mock Laughter,Ila Kenya waaah😂😂😂😂,ila <name> waah facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
111,Others,Code Switching,0,2025-09-20T01:36:41Z,Neutral,General Inquiry,Kwani made hawakutokea,<name> made hawakutokea
112,Constructive Criticism,Code Switching,0,2025-09-19T15:03:21Z,Positive,Supportive Speech,"Life iko hivyo, nothing makes sense.... Anymore 😂😂just do what you love 💕","life iko hivyo , nothing makes sense .. anymore facewithtearsofjoy facewithtearsofjoy just do what you love twohearts"
113,Constructive Criticism,English,0,2025-09-16T16:25:34Z,Positive,Genuine Praise,Following from Nairobi Kenya 🇰🇪 We congratulate them,following from nairobi <name> we congratulate them
114,Constructive Criticism,English,0,2025-09-15T11:39:19Z,Positive,Genuine Praise,He is man enough to marry. I respect them both for that very bold move. Marriage is not for children.,he is man enough to marry . i respect them both for that very bold move . marriage is not for children .
115,Constructive Criticism,English,0,2025-09-14T15:12:55Z,Positive,Genuine Praise,The realest support you can ever have. These guys were truly happy for their guy and that's a real deal man..,the realest support you can ever have . these guys were truly happy for their guy and that s a real deal man ..
116,Constructive Criticism,Code Switching,0,2025-09-12T16:28:10Z,Positive,Supportive Speech,Mimi nawakupali  kinoma yaani 😂😂hao watu wa kanisa ni roho mbaya walai 😂 hata yangu hapo Kwa cake 🍰 ni miraa NKT 😂😂😂😂😂,<name> nawakupali kinoma yaani facewithtearsofjoy facewithtearsofjoy <name> <name> wa kanisa ni <name> <name> <name> facewithtearsofjoy hata yangu <name> <name> cake shortcake ni miraa nkt facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
117,Constructive Criticism,English,0,2025-09-11T12:50:16Z,Positive,Genuine Praise,Ndoa ifurahiwe na watu wote! And they did.  Nothing is wrong there,ndoa ifurahiwe na watu wote ! and they did . nothing is wrong there
118,Constructive Criticism,English,0,2025-09-06T09:13:37Z,Positive,Genuine feedback,Hi harusi ilikuwa YA Kaling'o,hi harusi ilikuwa <name> <name>
119,Irony/Sarcasm,Code Switching,0,2025-09-04T19:08:50Z,Negative,Mock compliment,Weee ati wa kudumu siku zote😂😂😂,wee ati wa kudumu siku zote facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
120,Others,Plain Emoji,0,2025-08-28T19:26:18Z,Neutral,General Others,😭😭😭😭😭,loudlycryingface loudlycryingface loudlycryingface loudlycryingface loudlycryingface
121,Irony/Sarcasm,English,0,2025-08-27T22:21:42Z,Negative,Mock compliment,The first wedding in kenya crazy 😂😂,the first wedding in <name> crazy facewithtearsofjoy facewithtearsofjoy
122,Others,Code Switching,0,2025-08-25T19:05:16Z,Neutral,Spam,https://youtube.com/shorts/vCPMrncaHLE?si=S2gq2jZpGugdOdQB,
123,Others,Code Switching,0,2025-08-23T14:55:22Z,Neutral,General Inquiry,Is there no Dj🤔😂,is there no <name> <name> facewithtearsofjoy
124,Misinformation,English,0,2025-08-23T04:19:57Z,Neutral,Fabricated Content (Fake News),Drugs on air,drugs on air
